#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>総務</b> <br> 彼は会社の総務部長です。	[sound:s-0159_彼は会社の総務部長です。.mp3] <br> かれはかいしゃのそうむぶちょうです。 <br>He is the general affairs manager of the company.
<b>外務</b> <br> 外務大臣は外交活動を行っています。	[sound:s-0160_外務大臣は外交活動を行っています。.mp3] <br> がいむだいじんはがいこうかつどうをおこなっています。 <br>The Foreign Minister is conducting diplomatic activities.
<b>強さ</b> <br> 彼の強さは彼の信念から来ています。	[sound:s-0161_彼の強さは彼の信念から来ています。.mp3] <br> かれのつよさはかれのしんねんからきています。 <br>His strength comes from his beliefs.
<b>強化</b> <br> 政府はセキュリティを強化しています。	[sound:s-0162_政府はセキュリティを強化しています。.mp3] <br> せいふはせきゅりてぃをきょうかしています。 <br>The government is strengthening security.
<b>強制</b> <br> その行為は法律によって強制されます。	[sound:s-0163_その行為は法律によって強制されます。.mp3] <br> そのこういはほうりつによってきょうせいされます。 <br>The action is enforced by law.
<b>勉強</b> <br> 彼女は毎日勉強しています。	[sound:s-0164_彼女は毎日勉強しています。.mp3] <br> かのじょはまいにちべんきょうしています。 <br>She studies every day.
<b>強める</b> <br> 彼は音量を強めました。	[sound:s-0165_彼は音量を強めました。.mp3] <br> かれはおんりょうをつよめました。 <br>He increased the volume.
<b>強硬</b> <br> 政府は強硬な態度を取りました。	[sound:s-0166_政府は強硬な態度を取りました。.mp3] <br> せいふはきょうこうなたいどをとりました。 <br>The government took a tough stance.
<b>強力</b> <br> その機械は非常に強力です。	[sound:s-0167_その機械は非常に強力です。.mp3] <br> そのきかいはひじょうにきょうりょくです。 <br>That machine is very powerful.
<b>強盗</b> <br> 銀行に強盗が侵入しました。	[sound:s-0168_銀行に強盗が侵入しました。.mp3] <br> ぎんこうにごうとうがしんにゅうしました。 <br>Robbers broke into the bank.
<b>強み</b> <br> 彼の強みはリーダーシップです。	[sound:s-0169_彼の強みはリーダーシップです。.mp3] <br> かれのつよみはりーだーしっぷです。 <br>His strength is leadership.
<b>強気</b> <br> 彼女は交渉に強気です。	[sound:s-0170_彼女は交渉に強気です。.mp3] <br> かのじょはこうしょうにつよきです。 <br>She is aggressive in negotiations.
<b>気</b> <br> 彼は元気です。	[sound:s-0171_彼は元気です。.mp3] <br> かれはげんきです。 <br>He is energetic.
<b>景気</b> <br> 経済の景気は回復しています。	[sound:s-0172_経済の景気は回復しています。.mp3] <br> けいざいのけいきはかいふくしています。 <br>The economy is recovering.
<b>人気</b> <br> 彼は学校で人気があります。	[sound:s-0173_彼は学校で人気があります。.mp3] <br> かれはがっこうでにんきがあります。 <br>He is popular at school.
<b>気持ち</b> <br> 彼の気持ちは分かりますか？	[sound:s-0174_彼の気持ちは分かりますか？.mp3] <br> かれのきもちはわかりますか？ <br>Do you understand his feelings?
<b>電気</b> <br> 部屋に電気をつけてください。	[sound:s-0175_部屋に電気をつけてください。.mp3] <br> へやにでんきをつけてください。 <br>Please turn on the lights in the room.
<b>病気</b> <br> 彼女は病気で学校を休んでいます。	[sound:s-0176_彼女は病気で学校を休んでいます。.mp3] <br> かのじょはびょうきでがっこうをやすんでいます。 <br>She is absent from school due to illness.
<b>一気</b> <br> 彼は一気に全ての問題を解決しました。	[sound:s-0177_彼は一気に全ての問題を解決しました。.mp3] <br> かれはいっきにすべてのもんだいをかいけつしました。 <br>He solved all the problems in one go.
<b>気分</b> <br> 彼女の気分が悪いです。	[sound:s-0178_彼女の気分が悪いです。.mp3] <br> かのじょのきぶんがわるいです。 <br>She is in a bad mood.
<b>空気</b> <br> ここは空気が清新です。	[sound:s-0179_ここは空気が清新です。.mp3] <br> ここはくうきがせいしんです。 <br>The air here is fresh.
<b>雰囲気</b> <br> その店の雰囲気が好きです。	[sound:s-0180_その店の雰囲気が好きです。.mp3] <br> そのみせのふんいきがすきです。 <br>I like the atmosphere of that shop.
<b>小選挙区</b> <br> 小選挙区では激しい競争が繰り広げられています。	[sound:s-0181_小選挙区では激しい競争が繰り広げられています。.mp3] <br> しょうせんきょくでははげしいきょうそうがくりひろげられています。 <br>Fierce competition is unfolding in the single-member district.
<b>小学校</b> <br> 彼は小学校で友達と遊んでいます。	[sound:s-0182_彼は小学校で友達と遊んでいます。.mp3] <br> かれはしょうがっこうでともだちとあそんでいます。 <br>He is playing with his friends at elementary school.
<b>小説</b> <br> 彼は素晴らしい小説を書きました。	[sound:s-0183_彼は素晴らしい小説を書きました。.mp3] <br> かれはすばらしいしょうせつをかきました。 <br>He wrote a wonderful novel.
<b>小学生</b> <br> 小学生の頃、彼女はバレエを習っていました。	[sound:s-0184_小学生の頃、彼女はバレエを習っていました。.mp3] <br> しょうがくせいのころ、かのじょはばれえをならっていました。 <br>She took ballet lessons when she was an elementary school student.
<b>中小企業</b> <br> 日本の経済は中小企業に支えられています。	[sound:s-0185_日本の経済は中小企業に支えられています。.mp3] <br> にほんのけいざいはちゅうしょうきぎょうにささえられています。 <br>Japan's economy is supported by small and medium-sized enterprises.
<b>小学</b> <br> 私の町には小学が2つあります。	[sound:s-0186_私の町には小学が2つあります。.mp3] <br> わたしのまちにはしょうがっこうがふたつあります。 <br>There are two elementary schools in my town.
<b>小型</b> <br> この車は小型ですが、とても便利です。	[sound:s-0187_この車は小型ですが、とても便利です。.mp3] <br> このくるまはしょうがたですが、とてもべんりです。 <br>This car is small but very convenient.
<b>縮小</b> <br> 企業は予算を縮小しました。	[sound:s-0188_企業は予算を縮小しました。.mp3] <br> きぎょうはよさんをしゅくしょうしました。 <br>The company reduced its budget.
<b>小川</b> <br> 小川のそばでピクニックを楽しんだ。	[sound:s-0189_小川のそばでピクニックを楽しんだ。.mp3] <br> おがわのそばでぴくにっくをたのしんだ。 <br>We enjoyed a picnic by the stream.
<b>小島</b> <br> 小島には美しいビーチがあります。	[sound:s-0190_小島には美しいビーチがあります。.mp3] <br> しょうとうにはうつくしいびーちがあります。 <br>The island has beautiful beaches.
<b>七</b> <br> 彼女は七つの赤いりんごを買いました。	[sound:s-0191_彼女は七つの赤いりんごを買いました。.mp3] <br> かのじょはななつのあかいりんごをかいました。 <br>She bought seven red apples.
<b>七月</b> <br> 七月は私の誕生日です。	[sound:s-0192_七月は私の誕生日です。.mp3] <br> しちがつはわたしのたんじょうびです。 <br>July is my birthday month.
<b>十七</b> <br> 彼女の誕生日は十七日です。	[sound:s-0193_彼女の誕生日は十七日です。.mp3] <br> かのじょのたんじょうびはじゅうしちにちです。 <br>Her birthday is on the 17th.
<b>七十</b> <br> 彼の祖母は七十歳です。	[sound:s-0194_彼の祖母は七十歳です。.mp3] <br> かれのそぼはななじゅっさいです。 <br>His grandmother is seventy years old.
<b>四十七士</b> <br> 四十七士の忠義は有名です。	[sound:s-0195_四十七士の忠義は有名です。.mp3] <br> しよんじゅうしちしのちゅうぎはゆうめいです。 <br>The loyalty of the 47 Ronin is famous.
<b>七つ</b> <br> 私はテーブルの上に七つの本を見つけました。	[sound:s-0196_私はテーブルの上に七つの本を見つけました。.mp3] <br> わたしはてーぶるのうえにななつのほんをみつけました。 <br>I found seven books on the table.
<b>七七日</b> <br> 七七日は七夕です。	[sound:s-0197_七七日は七夕です。.mp3] <br> しちしちにちはたなばたです。 <br>The seventh day of the seventh month is Tanabata.
<b>二七日</b> <br> 二七日は来週の火曜日です。	[sound:s-0198_二七日は来週の火曜日です。.mp3] <br> にじゅうしちにちはらいしゅうのかようびです。 <br>The 27th is Tuesday next week.
<b>七夕</b> <br> 七夕には笹飾りをします。	[sound:s-0199_七夕には笹飾りをします。.mp3] <br> たなばたにはささかざりをします。 <br>We decorate bamboo grass on Tanabata.
<b>七回忌</b> <br> 彼女の七回忌が家族で行われました。	[sound:s-0200_彼女の七回忌が家族で行われました。.mp3] <br> かのじょのしちかいきがかぞくでおこなわれました。 <br>Her seventh death anniversary was held with family.
