national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
I live in Japan.	<b>私は日本に住んでいます。</b> <br> わたしはにほんにすんでいます。 <br><br> (私) <br> [sound:4c-s-私は日本に住んでいます。.mp3]
[sound:4c-k-私立.mp3]	<b>私立</b> <br> しりつ, わたくしりつ <br> private (establishment)
私立	<b>しりつ, わたくしりつ</b> <br> private (establishment) <br> [sound:4c-k-私立.mp3]
private (establishment)	<b>私立</b> <br> しりつ, わたくしりつ <br> [sound:4c-k-私立.mp3]
[sound:4c-s-私立の学校に通っています。.mp3]	<b>私立の学校に通っています。</b> <br> しりつのがっこうにかよっています。 <br><br> (私立) <br> I attend a private school.
私立の学校に通っています。 <br><br> (私立)	<b>しりつのがっこうにかよっています。</b> <br> I attend a private school. <br> [sound:4c-s-私立の学校に通っています。.mp3]
I attend a private school.	<b>私立の学校に通っています。</b> <br> しりつのがっこうにかよっています。 <br><br> (私立) <br> [sound:4c-s-私立の学校に通っています。.mp3]
[sound:4c-k-私文書.mp3]	<b>私文書</b> <br> しぶんしょ <br> private document
私文書	<b>しぶんしょ</b> <br> private document <br> [sound:4c-k-私文書.mp3]
private document	<b>私文書</b> <br> しぶんしょ <br> [sound:4c-k-私文書.mp3]
[sound:4c-s-彼は私文書を紛失しました。.mp3]	<b>彼は私文書を紛失しました。</b> <br> かれはしぶんしょをふんしつしました。 <br><br> (私文書) <br> He lost his private document.
彼は私文書を紛失しました。 <br><br> (私文書)	<b>かれはしぶんしょをふんしつしました。</b> <br> He lost his private document. <br> [sound:4c-s-彼は私文書を紛失しました。.mp3]
He lost his private document.	<b>彼は私文書を紛失しました。</b> <br> かれはしぶんしょをふんしつしました。 <br><br> (私文書) <br> [sound:4c-s-彼は私文書を紛失しました。.mp3]
[sound:4c-k-私設.mp3]	<b>私設</b> <br> しせつ <br> private
私設	<b>しせつ</b> <br> private <br> [sound:4c-k-私設.mp3]
private	<b>私設</b> <br> しせつ <br> [sound:4c-k-私設.mp3]
[sound:4c-s-私設の図書館は静かで快適です。.mp3]	<b>私設の図書館は静かで快適です。</b> <br> しせつのとしょかんはしずかでかいてきです。 <br><br> (私設) <br> The private library is quiet and comfortable.
私設の図書館は静かで快適です。 <br><br> (私設)	<b>しせつのとしょかんはしずかでかいてきです。</b> <br> The private library is quiet and comfortable. <br> [sound:4c-s-私設の図書館は静かで快適です。.mp3]
The private library is quiet and comfortable.	<b>私設の図書館は静かで快適です。</b> <br> しせつのとしょかんはしずかでかいてきです。 <br><br> (私設) <br> [sound:4c-s-私設の図書館は静かで快適です。.mp3]
[sound:4c-k-各自.mp3]	<b>各自</b> <br> かくじ <br> individual, each
各自	<b>かくじ</b> <br> individual, each <br> [sound:4c-k-各自.mp3]
individual, each	<b>各自</b> <br> かくじ <br> [sound:4c-k-各自.mp3]
[sound:4c-s-各自の役割をしっかり果たしてください。.mp3]	<b>各自の役割をしっかり果たしてください。</b> <br> かくじのやくわりをしっかりはたしてください。 <br><br> (各自) <br> Please fulfill each person's role properly.
各自の役割をしっかり果たしてください。 <br><br> (各自)	<b>かくじのやくわりをしっかりはたしてください。</b> <br> Please fulfill each person's role properly. <br> [sound:4c-s-各自の役割をしっかり果たしてください。.mp3]
Please fulfill each person's role properly.	<b>各自の役割をしっかり果たしてください。</b> <br> かくじのやくわりをしっかりはたしてください。 <br><br> (各自) <br> [sound:4c-s-各自の役割をしっかり果たしてください。.mp3]
[sound:4c-k-各種学校.mp3]	<b>各種学校</b> <br> かくしゅがっこう <br> vocational school
各種学校	<b>かくしゅがっこう</b> <br> vocational school <br> [sound:4c-k-各種学校.mp3]
vocational school	<b>各種学校</b> <br> かくしゅがっこう <br> [sound:4c-k-各種学校.mp3]
[sound:4c-s-日本には多くの各種学校があります。.mp3]	<b>日本には多くの各種学校があります。</b> <br> にほんにはおおくのかくしゅがっこうがあります。 <br><br> (各種学校) <br> There are many types of schools in Japan.
日本には多くの各種学校があります。 <br><br> (各種学校)	<b>にほんにはおおくのかくしゅがっこうがあります。</b> <br> There are many types of schools in Japan. <br> [sound:4c-s-日本には多くの各種学校があります。.mp3]
There are many types of schools in Japan.	<b>日本には多くの各種学校があります。</b> <br> にほんにはおおくのかくしゅがっこうがあります。 <br><br> (各種学校) <br> [sound:4c-s-日本には多くの各種学校があります。.mp3]
[sound:4c-k-各員.mp3]	<b>各員</b> <br> かくいん <br> each one
各員	<b>かくいん</b> <br> each one <br> [sound:4c-k-各員.mp3]
each one	<b>各員</b> <br> かくいん <br> [sound:4c-k-各員.mp3]
[sound:4c-s-各員が自分の仕事を終えました。.mp3]	<b>各員が自分の仕事を終えました。</b> <br> かくいんがじぶんのしごとをおえました。 <br><br> (各員) <br> Each member has finished their work.
各員が自分の仕事を終えました。 <br><br> (各員)	<b>かくいんがじぶんのしごとをおえました。</b> <br> Each member has finished their work. <br> [sound:4c-s-各員が自分の仕事を終えました。.mp3]
Each member has finished their work.	<b>各員が自分の仕事を終えました。</b> <br> かくいんがじぶんのしごとをおえました。 <br><br> (各員) <br> [sound:4c-s-各員が自分の仕事を終えました。.mp3]
[sound:4c-k-各駅.mp3]	<b>各駅</b> <br> かくえき <br> every station
各駅	<b>かくえき</b> <br> every station <br> [sound:4c-k-各駅.mp3]
every station	<b>各駅</b> <br> かくえき <br> [sound:4c-k-各駅.mp3]
[sound:4c-s-各駅停車の電車が遅れています。.mp3]	<b>各駅停車の電車が遅れています。</b> <br> かくえきていしゃのでんしゃがおくれています。 <br><br> (各駅) <br> The local train is delayed at every station.
各駅停車の電車が遅れています。 <br><br> (各駅)	<b>かくえきていしゃのでんしゃがおくれています。</b> <br> The local train is delayed at every station. <br> [sound:4c-s-各駅停車の電車が遅れています。.mp3]
The local train is delayed at every station.	<b>各駅停車の電車が遅れています。</b> <br> かくえきていしゃのでんしゃがおくれています。 <br><br> (各駅) <br> [sound:4c-s-各駅停車の電車が遅れています。.mp3]
[sound:4c-k-開始.mp3]	<b>開始</b> <br> かいし <br> start, commencement, beginning, initiation
開始	<b>かいし</b> <br> start, commencement, beginning, initiation <br> [sound:4c-k-開始.mp3]
start, commencement, beginning, initiation	<b>開始</b> <br> かいし <br> [sound:4c-k-開始.mp3]
[sound:4c-s-会議は10時に開始されます。.mp3]	<b>会議は10時に開始されます。</b> <br> かいぎはじゅうじにかいしされます。 <br><br> (開始) <br> The meeting will start at 10 o'clock.
会議は10時に開始されます。 <br><br> (開始)	<b>かいぎはじゅうじにかいしされます。</b> <br> The meeting will start at 10 o'clock. <br> [sound:4c-s-会議は10時に開始されます。.mp3]
The meeting will start at 10 o'clock.	<b>会議は10時に開始されます。</b> <br> かいぎはじゅうじにかいしされます。 <br><br> (開始) <br> [sound:4c-s-会議は10時に開始されます。.mp3]
[sound:4c-k-始まり.mp3]	<b>始まり</b> <br> はじまり <br> origin, beginning
始まり	<b>はじまり</b> <br> origin, beginning <br> [sound:4c-k-始まり.mp3]
origin, beginning	<b>始まり</b> <br> はじまり <br> [sound:4c-k-始まり.mp3]
[sound:4c-s-新しい冒険の始まりです。.mp3]	<b>新しい冒険の始まりです。</b> <br> あたらしいぼうけんのはじまりです。 <br><br> (始まり) <br> This is the beginning of a new adventure.
新しい冒険の始まりです。 <br><br> (始まり)	<b>あたらしいぼうけんのはじまりです。</b> <br> This is the beginning of a new adventure. <br> [sound:4c-s-新しい冒険の始まりです。.mp3]
This is the beginning of a new adventure.	<b>新しい冒険の始まりです。</b> <br> あたらしいぼうけんのはじまりです。 <br><br> (始まり) <br> [sound:4c-s-新しい冒険の始まりです。.mp3]
[sound:4c-k-始発.mp3]	<b>始発</b> <br> しはつ <br> first train
始発	<b>しはつ</b> <br> first train <br> [sound:4c-k-始発.mp3]
first train	<b>始発</b> <br> しはつ <br> [sound:4c-k-始発.mp3]
[sound:4c-s-始発の電車は6時に出発します。.mp3]	<b>始発の電車は6時に出発します。</b> <br> しはつのでんしゃはろくじにしゅっぱつします。 <br><br> (始発) <br> The first train departs at 6 AM.
始発の電車は6時に出発します。 <br><br> (始発)	<b>しはつのでんしゃはろくじにしゅっぱつします。</b> <br> The first train departs at 6 AM. <br> [sound:4c-s-始発の電車は6時に出発します。.mp3]
The first train departs at 6 AM.	<b>始発の電車は6時に出発します。</b> <br> しはつのでんしゃはろくじにしゅっぱつします。 <br><br> (始発) <br> [sound:4c-s-始発の電車は6時に出発します。.mp3]
[sound:4c-k-手始め.mp3]	<b>手始め</b> <br> てはじめ <br> outset
手始め	<b>てはじめ</b> <br> outset <br> [sound:4c-k-手始め.mp3]
outset	<b>手始め</b> <br> てはじめ <br> [sound:4c-k-手始め.mp3]
[sound:4c-s-手始めに簡単な問題を解いてみましょう。.mp3]	<b>手始めに簡単な問題を解いてみましょう。</b> <br> てはじめにかんたんなもんだいをといてみましょう。 <br><br> (手始め) <br> Let’s start by solving some simple problems.
手始めに簡単な問題を解いてみましょう。 <br><br> (手始め)	<b>てはじめにかんたんなもんだいをといてみましょう。</b> <br> Let’s start by solving some simple problems. <br> [sound:4c-s-手始めに簡単な問題を解いてみましょう。.mp3]
Let’s start by solving some simple problems.	<b>手始めに簡単な問題を解いてみましょう。</b> <br> てはじめにかんたんなもんだいをといてみましょう。 <br><br> (手始め) <br> [sound:4c-s-手始めに簡単な問題を解いてみましょう。.mp3]
[sound:4c-k-島.mp3]	<b>島</b> <br> しま <br> island; territory (of a prostitute, organized crime gang, etc.), turf
島	<b>しま</b> <br> island; territory (of a prostitute, organized crime gang, etc.), turf <br> [sound:4c-k-島.mp3]
island; territory (of a prostitute, organized crime gang, etc.), turf	<b>島</b> <br> しま <br> [sound:4c-k-島.mp3]
[sound:4c-s-この島はとても美しいです。.mp3]	<b>この島はとても美しいです。</b> <br> このしまはとても美しいです。 <br><br> (島) <br> This island is very beautiful.
この島はとても美しいです。 <br><br> (島)	<b>このしまはとても美しいです。</b> <br> This island is very beautiful. <br> [sound:4c-s-この島はとても美しいです。.mp3]
This island is very beautiful.	<b>この島はとても美しいです。</b> <br> このしまはとても美しいです。 <br><br> (島) <br> [sound:4c-s-この島はとても美しいです。.mp3]
[sound:4c-k-朝鮮半島.mp3]	<b>朝鮮半島</b> <br> ちょうせんはんとう <br> Korean peninsula
朝鮮半島	<b>ちょうせんはんとう</b> <br> Korean peninsula <br> [sound:4c-k-朝鮮半島.mp3]
Korean peninsula	<b>朝鮮半島</b> <br> ちょうせんはんとう <br> [sound:4c-k-朝鮮半島.mp3]
[sound:4c-s-朝鮮半島は東アジアに位置しています。.mp3]	<b>朝鮮半島は東アジアに位置しています。</b> <br> ちょうせんはんとうはひがしあじあにいちしています。 <br><br> (朝鮮半島) <br> The Korean Peninsula is located in East Asia.
朝鮮半島は東アジアに位置しています。 <br><br> (朝鮮半島)	<b>ちょうせんはんとうはひがしあじあにいちしています。</b> <br> The Korean Peninsula is located in East Asia. <br> [sound:4c-s-朝鮮半島は東アジアに位置しています。.mp3]
The Korean Peninsula is located in East Asia.	<b>朝鮮半島は東アジアに位置しています。</b> <br> ちょうせんはんとうはひがしあじあにいちしています。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は東アジアに位置しています。.mp3]
[sound:4c-k-島国.mp3]	<b>島国</b> <br> しまぐに, とうごく <br> island country (sometimes used as a metaphor for Japan)
島国	<b>しまぐに, とうごく</b> <br> island country (sometimes used as a metaphor for Japan) <br> [sound:4c-k-島国.mp3]
island country (sometimes used as a metaphor for Japan)	<b>島国</b> <br> しまぐに, とうごく <br> [sound:4c-k-島国.mp3]
[sound:4c-s-日本は島国です。.mp3]	<b>日本は島国です。</b> <br> にほんはしまぐにです。 <br><br> (島国) <br> Japan is an island nation.
日本は島国です。 <br><br> (島国)	<b>にほんはしまぐにです。</b> <br> Japan is an island nation. <br> [sound:4c-s-日本は島国です。.mp3]
Japan is an island nation.	<b>日本は島国です。</b> <br> にほんはしまぐにです。 <br><br> (島国) <br> [sound:4c-s-日本は島国です。.mp3]
[sound:4c-k-離島.mp3]	<b>離島</b> <br> りとう <br> isolated (outlying) island, departure from an island
離島	<b>りとう</b> <br> isolated (outlying) island, departure from an island <br> [sound:4c-k-離島.mp3]
isolated (outlying) island, departure from an island	<b>離島</b> <br> りとう <br> [sound:4c-k-離島.mp3]
[sound:4c-s-離島へ行くには船を使う必要があります。.mp3]	<b>離島へ行くには船を使う必要があります。</b> <br> りとうへいくにはふねをつかうひつようがあります。 <br><br> (離島) <br> You need to take a ferry to go to the remote island.
離島へ行くには船を使う必要があります。 <br><br> (離島)	<b>りとうへいくにはふねをつかうひつようがあります。</b> <br> You need to take a ferry to go to the remote island. <br> [sound:4c-s-離島へ行くには船を使う必要があります。.mp3]
You need to take a ferry to go to the remote island.	<b>離島へ行くには船を使う必要があります。</b> <br> りとうへいくにはふねをつかうひつようがあります。 <br><br> (離島) <br> [sound:4c-s-離島へ行くには船を使う必要があります。.mp3]
[sound:4c-k-直.mp3]	<b>直</b> <br> じき <br> soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction
直	<b>じき</b> <br> soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction <br> [sound:4c-k-直.mp3]
soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction	<b>直</b> <br> じき <br> [sound:4c-k-直.mp3]
[sound:4c-s-直に彼に会う予定です。.mp3]	<b>直に彼に会う予定です。</b> <br> なおにかれにあうよていです。 <br><br> (直) <br> I plan to meet him directly.
直に彼に会う予定です。 <br><br> (直)	<b>なおにかれにあうよていです。</b> <br> I plan to meet him directly. <br> [sound:4c-s-直に彼に会う予定です。.mp3]
I plan to meet him directly.	<b>直に彼に会う予定です。</b> <br> なおにかれにあうよていです。 <br><br> (直) <br> [sound:4c-s-直に彼に会う予定です。.mp3]
[sound:4c-k-直ちに.mp3]	<b>直ちに</b> <br> ただちに <br> at once, immediately, directly, in person
直ちに	<b>ただちに</b> <br> at once, immediately, directly, in person <br> [sound:4c-k-直ちに.mp3]
at once, immediately, directly, in person	<b>直ちに</b> <br> ただちに <br> [sound:4c-k-直ちに.mp3]
[sound:4c-s-直ちに行動を起こしてください。.mp3]	<b>直ちに行動を起こしてください。</b> <br> ただちにこうどうをおこしてください。 <br><br> (直ちに) <br> Please take action immediately.
直ちに行動を起こしてください。 <br><br> (直ちに)	<b>ただちにこうどうをおこしてください。</b> <br> Please take action immediately. <br> [sound:4c-s-直ちに行動を起こしてください。.mp3]
Please take action immediately.	<b>直ちに行動を起こしてください。</b> <br> ただちにこうどうをおこしてください。 <br><br> (直ちに) <br> [sound:4c-s-直ちに行動を起こしてください。.mp3]
[sound:4c-k-正直.mp3]	<b>正直</b> <br> しょうじき <br> honesty, integrity, frankness; honestly, frankly
正直	<b>しょうじき</b> <br> honesty, integrity, frankness; honestly, frankly <br> [sound:4c-k-正直.mp3]
honesty, integrity, frankness; honestly, frankly	<b>正直</b> <br> しょうじき <br> [sound:4c-k-正直.mp3]
[sound:4c-s-正直に言うと、それは無理です。.mp3]	<b>正直に言うと、それは無理です。</b> <br> しょうじきにいうと、それはむりです。 <br><br> (正直) <br> Honestly speaking, it’s impossible.
正直に言うと、それは無理です。 <br><br> (正直)	<b>しょうじきにいうと、それはむりです。</b> <br> Honestly speaking, it’s impossible. <br> [sound:4c-s-正直に言うと、それは無理です。.mp3]
Honestly speaking, it’s impossible.	<b>正直に言うと、それは無理です。</b> <br> しょうじきにいうと、それはむりです。 <br><br> (正直) <br> [sound:4c-s-正直に言うと、それは無理です。.mp3]
[sound:4c-k-素直.mp3]	<b>素直</b> <br> すなお <br> obedient, meek, docile, unaffected; honest, frank
素直	<b>すなお</b> <br> obedient, meek, docile, unaffected; honest, frank <br> [sound:4c-k-素直.mp3]
obedient, meek, docile, unaffected; honest, frank	<b>素直</b> <br> すなお <br> [sound:4c-k-素直.mp3]
[sound:4c-s-彼は素直な性格です。.mp3]	<b>彼は素直な性格です。</b> <br> かれはすなおなせいかくです。 <br><br> (素直) <br> He has a straightforward personality.
彼は素直な性格です。 <br><br> (素直)	<b>かれはすなおなせいかくです。</b> <br> He has a straightforward personality. <br> [sound:4c-s-彼は素直な性格です。.mp3]
He has a straightforward personality.	<b>彼は素直な性格です。</b> <br> かれはすなおなせいかくです。 <br><br> (素直) <br> [sound:4c-s-彼は素直な性格です。.mp3]
[sound:4c-k-両国.mp3]	<b>両国</b> <br> りょうこく, りょうごく <br> both countries
両国	<b>りょうこく, りょうごく</b> <br> both countries <br> [sound:4c-k-両国.mp3]
both countries	<b>両国</b> <br> りょうこく, りょうごく <br> [sound:4c-k-両国.mp3]
[sound:4c-s-両国の関係は良好です。.mp3]	<b>両国の関係は良好です。</b> <br> りょうこくのかんけいはりょうこうです。 <br><br> (両国) <br> The relationship between both countries is good.
両国の関係は良好です。 <br><br> (両国)	<b>りょうこくのかんけいはりょうこうです。</b> <br> The relationship between both countries is good. <br> [sound:4c-s-両国の関係は良好です。.mp3]
The relationship between both countries is good.	<b>両国の関係は良好です。</b> <br> りょうこくのかんけいはりょうこうです。 <br><br> (両国) <br> [sound:4c-s-両国の関係は良好です。.mp3]
[sound:4c-k-両党.mp3]	<b>両党</b> <br> りょうとう <br> both political parties
両党	<b>りょうとう</b> <br> both political parties <br> [sound:4c-k-両党.mp3]
both political parties	<b>両党</b> <br> りょうとう <br> [sound:4c-k-両党.mp3]
[sound:4c-s-両党が協議を行いました。.mp3]	<b>両党が協議を行いました。</b> <br> りょうとうがきょうぎをおこないました。 <br><br> (両党) <br> Both parties held discussions.
両党が協議を行いました。 <br><br> (両党)	<b>りょうとうがきょうぎをおこないました。</b> <br> Both parties held discussions. <br> [sound:4c-s-両党が協議を行いました。.mp3]
Both parties held discussions.	<b>両党が協議を行いました。</b> <br> りょうとうがきょうぎをおこないました。 <br><br> (両党) <br> [sound:4c-s-両党が協議を行いました。.mp3]
[sound:4c-k-両方.mp3]	<b>両方</b> <br> りょうほう <br> both sides, both parties
両方	<b>りょうほう</b> <br> both sides, both parties <br> [sound:4c-k-両方.mp3]
both sides, both parties	<b>両方</b> <br> りょうほう <br> [sound:4c-k-両方.mp3]
[sound:4c-s-両方の意見を聞きたいです。.mp3]	<b>両方の意見を聞きたいです。</b> <br> りょうほうのいけんをききたいです。 <br><br> (両方) <br> I want to hear both opinions.
両方の意見を聞きたいです。 <br><br> (両方)	<b>りょうほうのいけんをききたいです。</b> <br> I want to hear both opinions. <br> [sound:4c-s-両方の意見を聞きたいです。.mp3]
I want to hear both opinions.	<b>両方の意見を聞きたいです。</b> <br> りょうほうのいけんをききたいです。 <br><br> (両方) <br> [sound:4c-s-両方の意見を聞きたいです。.mp3]
[sound:4c-k-両面.mp3]	<b>両面</b> <br> りょうめん <br> both sides, two sides, double-sided
両面	<b>りょうめん</b> <br> both sides, two sides, double-sided <br> [sound:4c-k-両面.mp3]
both sides, two sides, double-sided	<b>両面</b> <br> りょうめん <br> [sound:4c-k-両面.mp3]
[sound:4c-s-この問題には両面があります。.mp3]	<b>この問題には両面があります。</b> <br> このもんだいにはりょうめんがあります。 <br><br> (両面) <br> This issue has two sides.
この問題には両面があります。 <br><br> (両面)	<b>このもんだいにはりょうめんがあります。</b> <br> This issue has two sides. <br> [sound:4c-s-この問題には両面があります。.mp3]
This issue has two sides.	<b>この問題には両面があります。</b> <br> このもんだいにはりょうめんがあります。 <br><br> (両面) <br> [sound:4c-s-この問題には両面があります。.mp3]
[sound:4c-k-朝.mp3]	<b>朝</b> <br> あさ, あした <br> morning
朝	<b>あさ, あした</b> <br> morning <br> [sound:4c-k-朝.mp3]
morning	<b>朝</b> <br> あさ, あした <br> [sound:4c-k-朝.mp3]
[sound:4c-s-朝の空気は爽やかです。.mp3]	<b>朝の空気は爽やかです。</b> <br> あさのくうきはさわやかです。 <br><br> (朝) <br> The morning air is refreshing.
朝の空気は爽やかです。 <br><br> (朝)	<b>あさのくうきはさわやかです。</b> <br> The morning air is refreshing. <br> [sound:4c-s-朝の空気は爽やかです。.mp3]
The morning air is refreshing.	<b>朝の空気は爽やかです。</b> <br> あさのくうきはさわやかです。 <br><br> (朝) <br> [sound:4c-s-朝の空気は爽やかです。.mp3]
[sound:4c-k-北朝鮮.mp3]	<b>北朝鮮</b> <br> きたちょうせん <br> North Korea
北朝鮮	<b>きたちょうせん</b> <br> North Korea <br> [sound:4c-k-北朝鮮.mp3]
North Korea	<b>北朝鮮</b> <br> きたちょうせん <br> [sound:4c-k-北朝鮮.mp3]
[sound:4c-s-北朝鮮のニュースを読んだ。.mp3]	<b>北朝鮮のニュースを読んだ。</b> <br> きたちょうせんのニュースをよんだ。 <br><br> (北朝鮮) <br> I read the news about North Korea.
北朝鮮のニュースを読んだ。 <br><br> (北朝鮮)	<b>きたちょうせんのニュースをよんだ。</b> <br> I read the news about North Korea. <br> [sound:4c-s-北朝鮮のニュースを読んだ。.mp3]
I read the news about North Korea.	<b>北朝鮮のニュースを読んだ。</b> <br> きたちょうせんのニュースをよんだ。 <br><br> (北朝鮮) <br> [sound:4c-s-北朝鮮のニュースを読んだ。.mp3]
[sound:4c-k-朝食.mp3]	<b>朝食</b> <br> ちょうしょく <br> breakfast
朝食	<b>ちょうしょく</b> <br> breakfast <br> [sound:4c-k-朝食.mp3]
breakfast	<b>朝食</b> <br> ちょうしょく <br> [sound:4c-k-朝食.mp3]
[sound:4c-s-朝食はパンとコーヒーです。.mp3]	<b>朝食はパンとコーヒーです。</b> <br> ちょうしょくはパンとコーヒーです。 <br><br> (朝食) <br> Breakfast is bread and coffee.
朝食はパンとコーヒーです。 <br><br> (朝食)	<b>ちょうしょくはパンとコーヒーです。</b> <br> Breakfast is bread and coffee. <br> [sound:4c-s-朝食はパンとコーヒーです。.mp3]
Breakfast is bread and coffee.	<b>朝食はパンとコーヒーです。</b> <br> ちょうしょくはパンとコーヒーです。 <br><br> (朝食) <br> [sound:4c-s-朝食はパンとコーヒーです。.mp3]
[sound:4c-k-毎朝.mp3]	<b>毎朝</b> <br> まいあさ, まいちょう <br> every morning
毎朝	<b>まいあさ, まいちょう</b> <br> every morning <br> [sound:4c-k-毎朝.mp3]
every morning	<b>毎朝</b> <br> まいあさ, まいちょう <br> [sound:4c-k-毎朝.mp3]
[sound:4c-s-毎朝ジョギングをします。.mp3]	<b>毎朝ジョギングをします。</b> <br> まいあさジョギングをします。 <br><br> (毎朝) <br> I go jogging every morning.
毎朝ジョギングをします。 <br><br> (毎朝)	<b>まいあさジョギングをします。</b> <br> I go jogging every morning. <br> [sound:4c-s-毎朝ジョギングをします。.mp3]
I go jogging every morning.	<b>毎朝ジョギングをします。</b> <br> まいあさジョギングをします。 <br><br> (毎朝) <br> [sound:4c-s-毎朝ジョギングをします。.mp3]
[sound:4c-k-革.mp3]	<b>革</b> <br> かわ <br> skin, hide, leather, fur, pelt, bark, shell
革	<b>かわ</b> <br> skin, hide, leather, fur, pelt, bark, shell <br> [sound:4c-k-革.mp3]
skin, hide, leather, fur, pelt, bark, shell	<b>革</b> <br> かわ <br> [sound:4c-k-革.mp3]
[sound:4c-s-このバッグは革製です。.mp3]	<b>このバッグは革製です。</b> <br> このバッグはかわせいです。 <br><br> (革) <br> This bag is made of leather.
このバッグは革製です。 <br><br> (革)	<b>このバッグはかわせいです。</b> <br> This bag is made of leather. <br> [sound:4c-s-このバッグは革製です。.mp3]
This bag is made of leather.	<b>このバッグは革製です。</b> <br> このバッグはかわせいです。 <br><br> (革) <br> [sound:4c-s-このバッグは革製です。.mp3]
[sound:4c-k-改革.mp3]	<b>改革</b> <br> かいかく <br> reform, reformation, innovation
改革	<b>かいかく</b> <br> reform, reformation, innovation <br> [sound:4c-k-改革.mp3]
reform, reformation, innovation	<b>改革</b> <br> かいかく <br> [sound:4c-k-改革.mp3]
[sound:4c-s-政府は改革を進めています。.mp3]	<b>政府は改革を進めています。</b> <br> せいふはかいかくをすすめています。 <br><br> (改革) <br> The government is promoting reform.
政府は改革を進めています。 <br><br> (改革)	<b>せいふはかいかくをすすめています。</b> <br> The government is promoting reform. <br> [sound:4c-s-政府は改革を進めています。.mp3]
The government is promoting reform.	<b>政府は改革を進めています。</b> <br> せいふはかいかくをすすめています。 <br><br> (改革) <br> [sound:4c-s-政府は改革を進めています。.mp3]
[sound:4c-k-農地改革.mp3]	<b>農地改革</b> <br> のうちかいかく <br> agrarian reform
農地改革	<b>のうちかいかく</b> <br> agrarian reform <br> [sound:4c-k-農地改革.mp3]
agrarian reform	<b>農地改革</b> <br> のうちかいかく <br> [sound:4c-k-農地改革.mp3]
[sound:4c-s-農地改革が実施されました。.mp3]	<b>農地改革が実施されました。</b> <br> のうちかいかくがじっしされました。 <br><br> (農地改革) <br> Agricultural reform was implemented.
農地改革が実施されました。 <br><br> (農地改革)	<b>のうちかいかくがじっしされました。</b> <br> Agricultural reform was implemented. <br> [sound:4c-s-農地改革が実施されました。.mp3]
Agricultural reform was implemented.	<b>農地改革が実施されました。</b> <br> のうちかいかくがじっしされました。 <br><br> (農地改革) <br> [sound:4c-s-農地改革が実施されました。.mp3]
[sound:4c-k-革靴.mp3]	<b>革靴</b> <br> かわぐつ <br> leather shoes
革靴	<b>かわぐつ</b> <br> leather shoes <br> [sound:4c-k-革靴.mp3]
leather shoes	<b>革靴</b> <br> かわぐつ <br> [sound:4c-k-革靴.mp3]
[sound:4c-s-革靴を磨きました。.mp3]	<b>革靴を磨きました。</b> <br> かわぐつをみがきました。 <br><br> (革靴) <br> I polished my leather shoes.
革靴を磨きました。 <br><br> (革靴)	<b>かわぐつをみがきました。</b> <br> I polished my leather shoes. <br> [sound:4c-s-革靴を磨きました。.mp3]
I polished my leather shoes.	<b>革靴を磨きました。</b> <br> かわぐつをみがきました。 <br><br> (革靴) <br> [sound:4c-s-革靴を磨きました。.mp3]
[sound:4c-k-価格.mp3]	<b>価格</b> <br> かかく <br> price, value, cost
価格	<b>かかく</b> <br> price, value, cost <br> [sound:4c-k-価格.mp3]
price, value, cost	<b>価格</b> <br> かかく <br> [sound:4c-k-価格.mp3]
[sound:4c-s-この商品の価格は高いです。.mp3]	<b>この商品の価格は高いです。</b> <br> このしょうひんのかかくはたかいです。 <br><br> (価格) <br> This product is expensive.
この商品の価格は高いです。 <br><br> (価格)	<b>このしょうひんのかかくはたかいです。</b> <br> This product is expensive. <br> [sound:4c-s-この商品の価格は高いです。.mp3]
This product is expensive.	<b>この商品の価格は高いです。</b> <br> このしょうひんのかかくはたかいです。 <br><br> (価格) <br> [sound:4c-s-この商品の価格は高いです。.mp3]
[sound:4c-k-株価.mp3]	<b>株価</b> <br> かぶか <br> stock prices
株価	<b>かぶか</b> <br> stock prices <br> [sound:4c-k-株価.mp3]
stock prices	<b>株価</b> <br> かぶか <br> [sound:4c-k-株価.mp3]
[sound:4c-s-今日の株価は下がりました。.mp3]	<b>今日の株価は下がりました。</b> <br> きょうのかぶかはさがりました。 <br><br> (株価) <br> Today's stock prices went down.
今日の株価は下がりました。 <br><br> (株価)	<b>きょうのかぶかはさがりました。</b> <br> Today's stock prices went down. <br> [sound:4c-s-今日の株価は下がりました。.mp3]
Today's stock prices went down.	<b>今日の株価は下がりました。</b> <br> きょうのかぶかはさがりました。 <br><br> (株価) <br> [sound:4c-s-今日の株価は下がりました。.mp3]
[sound:4c-k-米価.mp3]	<b>米価</b> <br> べいか <br> rice price
米価	<b>べいか</b> <br> rice price <br> [sound:4c-k-米価.mp3]
rice price	<b>米価</b> <br> べいか <br> [sound:4c-k-米価.mp3]
[sound:4c-s-米価が上昇しています。.mp3]	<b>米価が上昇しています。</b> <br> べいかがじょうしょうしています。 <br><br> (米価) <br> Rice prices are increasing.
