the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
[sound:4c-s-次期大統領選挙について議論されています。.mp3]	<b>次期大統領選挙について議論されています。</b> <br> じきだいとうりょうせんきょについてぎろんされています。 <br><br> (次期) <br> The next presidential election is being discussed.
次期大統領選挙について議論されています。 <br><br> (次期)	<b>じきだいとうりょうせんきょについてぎろんされています。</b> <br> The next presidential election is being discussed. <br> [sound:4c-s-次期大統領選挙について議論されています。.mp3]
The next presidential election is being discussed.	<b>次期大統領選挙について議論されています。</b> <br> じきだいとうりょうせんきょについてぎろんされています。 <br><br> (次期) <br> [sound:4c-s-次期大統領選挙について議論されています。.mp3]
[sound:4c-k-公共.mp3]	<b>公共</b> <br> こうきょう <br> public, community, public service, society, communal
公共	<b>こうきょう</b> <br> public, community, public service, society, communal <br> [sound:4c-k-公共.mp3]
public, community, public service, society, communal	<b>公共</b> <br> こうきょう <br> [sound:4c-k-公共.mp3]
[sound:4c-s-公共交通機関を利用しましょう。.mp3]	<b>公共交通機関を利用しましょう。</b> <br> こうきょうこうつうきかんをりようしましょう。 <br><br> (公共) <br> Let's use public transportation.
公共交通機関を利用しましょう。 <br><br> (公共)	<b>こうきょうこうつうきかんをりようしましょう。</b> <br> Let's use public transportation. <br> [sound:4c-s-公共交通機関を利用しましょう。.mp3]
Let's use public transportation.	<b>公共交通機関を利用しましょう。</b> <br> こうきょうこうつうきかんをりようしましょう。 <br><br> (公共) <br> [sound:4c-s-公共交通機関を利用しましょう。.mp3]
[sound:4c-k-公式.mp3]	<b>公式</b> <br> こうしき <br> formality, formal, official; formula
公式	<b>こうしき</b> <br> formality, formal, official; formula <br> [sound:4c-k-公式.mp3]
formality, formal, official; formula	<b>公式</b> <br> こうしき <br> [sound:4c-k-公式.mp3]
[sound:4c-s-公式発表が行われました。.mp3]	<b>公式発表が行われました。</b> <br> こうしきはっぴょうがおこなわれました。 <br><br> (公式) <br> An official announcement was made.
公式発表が行われました。 <br><br> (公式)	<b>こうしきはっぴょうがおこなわれました。</b> <br> An official announcement was made. <br> [sound:4c-s-公式発表が行われました。.mp3]
An official announcement was made.	<b>公式発表が行われました。</b> <br> こうしきはっぴょうがおこなわれました。 <br><br> (公式) <br> [sound:4c-s-公式発表が行われました。.mp3]
[sound:4c-k-公明党.mp3]	<b>公明党</b> <br> こうめいとう <br> New Komeito (Japanese political party), New Clean Government Party, Justice Party
公明党	<b>こうめいとう</b> <br> New Komeito (Japanese political party), New Clean Government Party, Justice Party <br> [sound:4c-k-公明党.mp3]
New Komeito (Japanese political party), New Clean Government Party, Justice Party	<b>公明党</b> <br> こうめいとう <br> [sound:4c-k-公明党.mp3]
[sound:4c-s-公明党の代表が演説しました。.mp3]	<b>公明党の代表が演説しました。</b> <br> こうめいとうのだいひょうがえんぜつしました。 <br><br> (公明党) <br> A representative of the Komeito Party gave a speech.
公明党の代表が演説しました。 <br><br> (公明党)	<b>こうめいとうのだいひょうがえんぜつしました。</b> <br> A representative of the Komeito Party gave a speech. <br> [sound:4c-s-公明党の代表が演説しました。.mp3]
A representative of the Komeito Party gave a speech.	<b>公明党の代表が演説しました。</b> <br> こうめいとうのだいひょうがえんぜつしました。 <br><br> (公明党) <br> [sound:4c-s-公明党の代表が演説しました。.mp3]
[sound:4c-k-公的.mp3]	<b>公的</b> <br> こうてき <br> public, official
公的	<b>こうてき</b> <br> public, official <br> [sound:4c-k-公的.mp3]
public, official	<b>公的</b> <br> こうてき <br> [sound:4c-k-公的.mp3]
[sound:4c-s-公的な文書を提出しました。.mp3]	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> I submitted an official document.
公的な文書を提出しました。 <br><br> (公的)	<b>こうてきなぶんしょをていしゅつしました。</b> <br> I submitted an official document. <br> [sound:4c-s-公的な文書を提出しました。.mp3]
I submitted an official document.	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> [sound:4c-s-公的な文書を提出しました。.mp3]
[sound:4c-k-持ち.mp3]	<b>持ち</b> <br> もち <br> hold, charge, keep possession, in charge; wear, durability, life, draw; usage
持ち	<b>もち</b> <br> hold, charge, keep possession, in charge; wear, durability, life, draw; usage <br> [sound:4c-k-持ち.mp3]
hold, charge, keep possession, in charge; wear, durability, life, draw; usage	<b>持ち</b> <br> もち <br> [sound:4c-k-持ち.mp3]
[sound:4c-s-彼の持ち物を管理しています。.mp3]	<b>彼の持ち物を管理しています。</b> <br> かれのもちものをかんりしています。 <br><br> (持ち) <br> I am managing his belongings.
彼の持ち物を管理しています。 <br><br> (持ち)	<b>かれのもちものをかんりしています。</b> <br> I am managing his belongings. <br> [sound:4c-s-彼の持ち物を管理しています。.mp3]
I am managing his belongings.	<b>彼の持ち物を管理しています。</b> <br> かれのもちものをかんりしています。 <br><br> (持ち) <br> [sound:4c-s-彼の持ち物を管理しています。.mp3]
[sound:4c-k-持つ.mp3]	<b>持つ</b> <br> もつ <br> to hold, to carry; to possess
持つ	<b>もつ</b> <br> to hold, to carry; to possess <br> [sound:4c-k-持つ.mp3]
to hold, to carry; to possess	<b>持つ</b> <br> もつ <br> [sound:4c-k-持つ.mp3]
[sound:4c-s-彼は強い信念を持っています。.mp3]	<b>彼は強い信念を持っています。</b> <br> かれはつよいしんねんをもっています。 <br><br> (持つ) <br> He has strong beliefs.
彼は強い信念を持っています。 <br><br> (持つ)	<b>かれはつよいしんねんをもっています。</b> <br> He has strong beliefs. <br> [sound:4c-s-彼は強い信念を持っています。.mp3]
He has strong beliefs.	<b>彼は強い信念を持っています。</b> <br> かれはつよいしんねんをもっています。 <br><br> (持つ) <br> [sound:4c-s-彼は強い信念を持っています。.mp3]
[sound:4c-k-持ち込む.mp3]	<b>持ち込む</b> <br> もちこむ <br> to lodge, to take something into ..., to bring in
持ち込む	<b>もちこむ</b> <br> to lodge, to take something into ..., to bring in <br> [sound:4c-k-持ち込む.mp3]
to lodge, to take something into ..., to bring in	<b>持ち込む</b> <br> もちこむ <br> [sound:4c-k-持ち込む.mp3]
[sound:4c-s-食べ物を持ち込まないでください。.mp3]	<b>食べ物を持ち込まないでください。</b> <br> たべものをもちこまないでください。 <br><br> (持ち込む) <br> Please do not bring food inside.
食べ物を持ち込まないでください。 <br><br> (持ち込む)	<b>たべものをもちこまないでください。</b> <br> Please do not bring food inside. <br> [sound:4c-s-食べ物を持ち込まないでください。.mp3]
Please do not bring food inside.	<b>食べ物を持ち込まないでください。</b> <br> たべものをもちこまないでください。 <br><br> (持ち込む) <br> [sound:4c-s-食べ物を持ち込まないでください。.mp3]
[sound:4c-k-保持.mp3]	<b>保持</b> <br> ほじ <br> retention, maintenance, preservation
保持	<b>ほじ</b> <br> retention, maintenance, preservation <br> [sound:4c-k-保持.mp3]
retention, maintenance, preservation	<b>保持</b> <br> ほじ <br> [sound:4c-k-保持.mp3]
[sound:4c-s-このデータは安全に保持されています。.mp3]	<b>このデータは安全に保持されています。</b> <br> このデータはあんぜんにほじされています。 <br><br> (保持) <br> This data is securely stored.
このデータは安全に保持されています。 <br><br> (保持)	<b>このデータはあんぜんにほじされています。</b> <br> This data is securely stored. <br> [sound:4c-s-このデータは安全に保持されています。.mp3]
This data is securely stored.	<b>このデータは安全に保持されています。</b> <br> このデータはあんぜんにほじされています。 <br><br> (保持) <br> [sound:4c-s-このデータは安全に保持されています。.mp3]
[sound:4c-k-野党.mp3]	<b>野党</b> <br> やとう <br> opposition party, political opposition, opposition
野党	<b>やとう</b> <br> opposition party, political opposition, opposition <br> [sound:4c-k-野党.mp3]
opposition party, political opposition, opposition	<b>野党</b> <br> やとう <br> [sound:4c-k-野党.mp3]
[sound:4c-s-野党が新しい法案を提出しました。.mp3]	<b>野党が新しい法案を提出しました。</b> <br> やとうがあたらしいほうあんをていしゅつしました。 <br><br> (野党) <br> The opposition party submitted a new bill.
野党が新しい法案を提出しました。 <br><br> (野党)	<b>やとうがあたらしいほうあんをていしゅつしました。</b> <br> The opposition party submitted a new bill. <br> [sound:4c-s-野党が新しい法案を提出しました。.mp3]
The opposition party submitted a new bill.	<b>野党が新しい法案を提出しました。</b> <br> やとうがあたらしいほうあんをていしゅつしました。 <br><br> (野党) <br> [sound:4c-s-野党が新しい法案を提出しました。.mp3]
[sound:4c-k-与野党.mp3]	<b>与野党</b> <br> よやとう <br> (political) parties in and out of power, majority and minority parties
与野党	<b>よやとう</b> <br> (political) parties in and out of power, majority and minority parties <br> [sound:4c-k-与野党.mp3]
(political) parties in and out of power, majority and minority parties	<b>与野党</b> <br> よやとう <br> [sound:4c-k-与野党.mp3]
[sound:4c-s-与野党の協議が行われました。.mp3]	<b>与野党の協議が行われました。</b> <br> よやとうのきょうぎがおこなわれました。 <br><br> (与野党) <br> Discussions between the ruling and opposition parties were held.
与野党の協議が行われました。 <br><br> (与野党)	<b>よやとうのきょうぎがおこなわれました。</b> <br> Discussions between the ruling and opposition parties were held. <br> [sound:4c-s-与野党の協議が行われました。.mp3]
Discussions between the ruling and opposition parties were held.	<b>与野党の協議が行われました。</b> <br> よやとうのきょうぎがおこなわれました。 <br><br> (与野党) <br> [sound:4c-s-与野党の協議が行われました。.mp3]
[sound:4c-k-野菜.mp3]	<b>野菜</b> <br> やさい <br> vegetable
野菜	<b>やさい</b> <br> vegetable <br> [sound:4c-k-野菜.mp3]
vegetable	<b>野菜</b> <br> やさい <br> [sound:4c-k-野菜.mp3]
[sound:4c-s-新鮮な野菜を買いました。.mp3]	<b>新鮮な野菜を買いました。</b> <br> しんせんなやさいをかいました。 <br><br> (野菜) <br> I bought fresh vegetables.
新鮮な野菜を買いました。 <br><br> (野菜)	<b>しんせんなやさいをかいました。</b> <br> I bought fresh vegetables. <br> [sound:4c-s-新鮮な野菜を買いました。.mp3]
I bought fresh vegetables.	<b>新鮮な野菜を買いました。</b> <br> しんせんなやさいをかいました。 <br><br> (野菜) <br> [sound:4c-s-新鮮な野菜を買いました。.mp3]
[sound:4c-k-上野.mp3]	<b>上野</b> <br> うえの <br> section of Tokyo
上野	<b>うえの</b> <br> section of Tokyo <br> [sound:4c-k-上野.mp3]
section of Tokyo	<b>上野</b> <br> うえの <br> [sound:4c-k-上野.mp3]
[sound:4c-s-上野動物園に行きました。.mp3]	<b>上野動物園に行きました。</b> <br> うえのどうぶつえんにいきました。 <br><br> (上野) <br> I went to Ueno Zoo.
上野動物園に行きました。 <br><br> (上野)	<b>うえのどうぶつえんにいきました。</b> <br> I went to Ueno Zoo. <br> [sound:4c-s-上野動物園に行きました。.mp3]
I went to Ueno Zoo.	<b>上野動物園に行きました。</b> <br> うえのどうぶつえんにいきました。 <br><br> (上野) <br> [sound:4c-s-上野動物園に行きました。.mp3]
[sound:4c-k-協定.mp3]	<b>協定</b> <br> きょうてい <br> arrangement, pact, agreement
協定	<b>きょうてい</b> <br> arrangement, pact, agreement <br> [sound:4c-k-協定.mp3]
arrangement, pact, agreement	<b>協定</b> <br> きょうてい <br> [sound:4c-k-協定.mp3]
[sound:4c-s-両国は新しい協定を結びました。.mp3]	<b>両国は新しい協定を結びました。</b> <br> りょうこくはあたらしいきょうていをむすびました。 <br><br> (協定) <br> Both countries signed a new agreement.
両国は新しい協定を結びました。 <br><br> (協定)	<b>りょうこくはあたらしいきょうていをむすびました。</b> <br> Both countries signed a new agreement. <br> [sound:4c-s-両国は新しい協定を結びました。.mp3]
Both countries signed a new agreement.	<b>両国は新しい協定を結びました。</b> <br> りょうこくはあたらしいきょうていをむすびました。 <br><br> (協定) <br> [sound:4c-s-両国は新しい協定を結びました。.mp3]
[sound:4c-k-協力.mp3]	<b>協力</b> <br> きょうりょく <br> cooperation, collaboration
協力	<b>きょうりょく</b> <br> cooperation, collaboration <br> [sound:4c-k-協力.mp3]
cooperation, collaboration	<b>協力</b> <br> きょうりょく <br> [sound:4c-k-協力.mp3]
[sound:4c-s-皆で協力して問題を解決しました。.mp3]	<b>皆で協力して問題を解決しました。</b> <br> みんなできょうりょくしてもんだいをかいけつしました。 <br><br> (協力) <br> We worked together to solve the problem.
皆で協力して問題を解決しました。 <br><br> (協力)	<b>みんなできょうりょくしてもんだいをかいけつしました。</b> <br> We worked together to solve the problem. <br> [sound:4c-s-皆で協力して問題を解決しました。.mp3]
We worked together to solve the problem.	<b>皆で協力して問題を解決しました。</b> <br> みんなできょうりょくしてもんだいをかいけつしました。 <br><br> (協力) <br> [sound:4c-s-皆で協力して問題を解決しました。.mp3]
[sound:4c-k-協調.mp3]	<b>協調</b> <br> きょうちょう <br> cooperation, conciliation, harmony; firm (market) tone
協調	<b>きょうちょう</b> <br> cooperation, conciliation, harmony; firm (market) tone <br> [sound:4c-k-協調.mp3]
cooperation, conciliation, harmony; firm (market) tone	<b>協調</b> <br> きょうちょう <br> [sound:4c-k-協調.mp3]
[sound:4c-s-協調して作業を進めましょう。.mp3]	<b>協調して作業を進めましょう。</b> <br> きょうちょうしてさぎょうをすすめましょう。 <br><br> (協調) <br> Let's proceed with our work cooperatively.
協調して作業を進めましょう。 <br><br> (協調)	<b>きょうちょうしてさぎょうをすすめましょう。</b> <br> Let's proceed with our work cooperatively. <br> [sound:4c-s-協調して作業を進めましょう。.mp3]
Let's proceed with our work cooperatively.	<b>協調して作業を進めましょう。</b> <br> きょうちょうしてさぎょうをすすめましょう。 <br><br> (協調) <br> [sound:4c-s-協調して作業を進めましょう。.mp3]
[sound:4c-k-妥協.mp3]	<b>妥協</b> <br> だきょう <br> compromise, giving in
妥協	<b>だきょう</b> <br> compromise, giving in <br> [sound:4c-k-妥協.mp3]
compromise, giving in	<b>妥協</b> <br> だきょう <br> [sound:4c-k-妥協.mp3]
[sound:4c-s-両者は妥協案に合意しました。.mp3]	<b>両者は妥協案に合意しました。</b> <br> りょうしゃはだきょうあんにごういしました。 <br><br> (妥協) <br> Both parties agreed on a compromise.
両者は妥協案に合意しました。 <br><br> (妥協)	<b>りょうしゃはだきょうあんにごういしました。</b> <br> Both parties agreed on a compromise. <br> [sound:4c-s-両者は妥協案に合意しました。.mp3]
Both parties agreed on a compromise.	<b>両者は妥協案に合意しました。</b> <br> りょうしゃはだきょうあんにごういしました。 <br><br> (妥協) <br> [sound:4c-s-両者は妥協案に合意しました。.mp3]
[sound:4c-k-取っ手.mp3]	<b>取っ手</b> <br> とって, はしゅ <br> handle, grip, knob
取っ手	<b>とって, はしゅ</b> <br> handle, grip, knob <br> [sound:4c-k-取っ手.mp3]
handle, grip, knob	<b>取っ手</b> <br> とって, はしゅ <br> [sound:4c-k-取っ手.mp3]
[sound:4c-s-ドアの取っ手を修理しました。.mp3]	<b>ドアの取っ手を修理しました。</b> <br> ドアのとってをしゅうりしました。 <br><br> (取っ手) <br> I repaired the door handle.
ドアの取っ手を修理しました。 <br><br> (取っ手)	<b>ドアのとってをしゅうりしました。</b> <br> I repaired the door handle. <br> [sound:4c-s-ドアの取っ手を修理しました。.mp3]
I repaired the door handle.	<b>ドアの取っ手を修理しました。</b> <br> ドアのとってをしゅうりしました。 <br><br> (取っ手) <br> [sound:4c-s-ドアの取っ手を修理しました。.mp3]
[sound:4c-k-取締役.mp3]	<b>取締役</b> <br> とりしまりやく <br> company director, board member
取締役	<b>とりしまりやく</b> <br> company director, board member <br> [sound:4c-k-取締役.mp3]
company director, board member	<b>取締役</b> <br> とりしまりやく <br> [sound:4c-k-取締役.mp3]
[sound:4c-s-彼は会社の取締役です。.mp3]	<b>彼は会社の取締役です。</b> <br> かれはかいしゃのとりしまりやくです。 <br><br> (取締役) <br> He is the company director.
彼は会社の取締役です。 <br><br> (取締役)	<b>かれはかいしゃのとりしまりやくです。</b> <br> He is the company director. <br> [sound:4c-s-彼は会社の取締役です。.mp3]
He is the company director.	<b>彼は会社の取締役です。</b> <br> かれはかいしゃのとりしまりやくです。 <br><br> (取締役) <br> [sound:4c-s-彼は会社の取締役です。.mp3]
[sound:4c-k-聴取.mp3]	<b>聴取</b> <br> ちょうしゅ <br> listening, hearing, audition, radio reception
聴取	<b>ちょうしゅ</b> <br> listening, hearing, audition, radio reception <br> [sound:4c-k-聴取.mp3]
listening, hearing, audition, radio reception	<b>聴取</b> <br> ちょうしゅ <br> [sound:4c-k-聴取.mp3]
[sound:4c-s-警察が事件の聴取を行いました。.mp3]	<b>警察が事件の聴取を行いました。</b> <br> けいさつがじけんのちょうしゅをおこないました。 <br><br> (聴取) <br> The police conducted an interview regarding the case.
警察が事件の聴取を行いました。 <br><br> (聴取)	<b>けいさつがじけんのちょうしゅをおこないました。</b> <br> The police conducted an interview regarding the case. <br> [sound:4c-s-警察が事件の聴取を行いました。.mp3]
The police conducted an interview regarding the case.	<b>警察が事件の聴取を行いました。</b> <br> けいさつがじけんのちょうしゅをおこないました。 <br><br> (聴取) <br> [sound:4c-s-警察が事件の聴取を行いました。.mp3]
[sound:4c-k-取り組み.mp3]	<b>取り組み</b> <br> とりくみ <br> bout (in sports, etc.), match; effort, initiative, dealing with, grappling with, wrestling with
取り組み	<b>とりくみ</b> <br> bout (in sports, etc.), match; effort, initiative, dealing with, grappling with, wrestling with <br> [sound:4c-k-取り組み.mp3]
bout (in sports, etc.), match; effort, initiative, dealing with, grappling with, wrestling with	<b>取り組み</b> <br> とりくみ <br> [sound:4c-k-取り組み.mp3]
[sound:4c-s-環境保護の取り組みが重要です。.mp3]	<b>環境保護の取り組みが重要です。</b> <br> かんきょうほごのとりくみがじゅうようです。 <br><br> (取り組み) <br> Environmental protection efforts are important.
環境保護の取り組みが重要です。 <br><br> (取り組み)	<b>かんきょうほごのとりくみがじゅうようです。</b> <br> Environmental protection efforts are important. <br> [sound:4c-s-環境保護の取り組みが重要です。.mp3]
Environmental protection efforts are important.	<b>環境保護の取り組みが重要です。</b> <br> かんきょうほごのとりくみがじゅうようです。 <br><br> (取り組み) <br> [sound:4c-s-環境保護の取り組みが重要です。.mp3]
[sound:4c-k-京都.mp3]	<b>京都</b> <br> きょうと <br> Kyoto
京都	<b>きょうと</b> <br> Kyoto <br> [sound:4c-k-京都.mp3]
Kyoto	<b>京都</b> <br> きょうと <br> [sound:4c-k-京都.mp3]
[sound:4c-s-京都には美しい寺院があります。.mp3]	<b>京都には美しい寺院があります。</b> <br> きょうとにはうつくしいじいんがあります。 <br><br> (京都) <br> Kyoto has beautiful temples.
京都には美しい寺院があります。 <br><br> (京都)	<b>きょうとにはうつくしいじいんがあります。</b> <br> Kyoto has beautiful temples. <br> [sound:4c-s-京都には美しい寺院があります。.mp3]
Kyoto has beautiful temples.	<b>京都には美しい寺院があります。</b> <br> きょうとにはうつくしいじいんがあります。 <br><br> (京都) <br> [sound:4c-s-京都には美しい寺院があります。.mp3]
[sound:4c-k-首都.mp3]	<b>首都</b> <br> しゅと <br> capital city, metropolis
首都	<b>しゅと</b> <br> capital city, metropolis <br> [sound:4c-k-首都.mp3]
capital city, metropolis	<b>首都</b> <br> しゅと <br> [sound:4c-k-首都.mp3]
[sound:4c-s-首都の人口が増加しています。.mp3]	<b>首都の人口が増加しています。</b> <br> しゅとのじんこうがぞうかしています。 <br><br> (首都) <br> The population of the capital city is increasing.
首都の人口が増加しています。 <br><br> (首都)	<b>しゅとのじんこうがぞうかしています。</b> <br> The population of the capital city is increasing. <br> [sound:4c-s-首都の人口が増加しています。.mp3]
The population of the capital city is increasing.	<b>首都の人口が増加しています。</b> <br> しゅとのじんこうがぞうかしています。 <br><br> (首都) <br> [sound:4c-s-首都の人口が増加しています。.mp3]
[sound:4c-k-首都圏.mp3]	<b>首都圏</b> <br> しゅとけん <br> the capital city (often Tokyo) area (typically within 50 km of city's centre) (center)
首都圏	<b>しゅとけん</b> <br> the capital city (often Tokyo) area (typically within 50 km of city's centre) (center) <br> [sound:4c-k-首都圏.mp3]
the capital city (often Tokyo) area (typically within 50 km of city's centre) (center)	<b>首都圏</b> <br> しゅとけん <br> [sound:4c-k-首都圏.mp3]
[sound:4c-s-首都圏の交通が混雑しています。.mp3]	<b>首都圏の交通が混雑しています。</b> <br> しゅとけんのこうつうがこんざつしています。 <br><br> (首都圏) <br> Traffic in the metropolitan area is congested.
首都圏の交通が混雑しています。 <br><br> (首都圏)	<b>しゅとけんのこうつうがこんざつしています。</b> <br> Traffic in the metropolitan area is congested. <br> [sound:4c-s-首都圏の交通が混雑しています。.mp3]
Traffic in the metropolitan area is congested.	<b>首都圏の交通が混雑しています。</b> <br> しゅとけんのこうつうがこんざつしています。 <br><br> (首都圏) <br> [sound:4c-s-首都圏の交通が混雑しています。.mp3]
[sound:4c-k-都道府県.mp3]	<b>都道府県</b> <br> とどうふけん <br> administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures
都道府県	<b>とどうふけん</b> <br> administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures <br> [sound:4c-k-都道府県.mp3]
administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures	<b>都道府県</b> <br> とどうふけん <br> [sound:4c-k-都道府県.mp3]
[sound:4c-s-都道府県の行政が発表されました。.mp3]	<b>都道府県の行政が発表されました。</b> <br> とどうふけんのぎょうせいがはっぴょうされました。 <br><br> (都道府県) <br> The prefectural government announced a new policy.
都道府県の行政が発表されました。 <br><br> (都道府県)	<b>とどうふけんのぎょうせいがはっぴょうされました。</b> <br> The prefectural government announced a new policy. <br> [sound:4c-s-都道府県の行政が発表されました。.mp3]
The prefectural government announced a new policy.	<b>都道府県の行政が発表されました。</b> <br> とどうふけんのぎょうせいがはっぴょうされました。 <br><br> (都道府県) <br> [sound:4c-s-都道府県の行政が発表されました。.mp3]
[sound:4c-k-緩和.mp3]	<b>緩和</b> <br> かんわ <br> relief, mitigation, alleviation, relaxation, softening
緩和	<b>かんわ</b> <br> relief, mitigation, alleviation, relaxation, softening <br> [sound:4c-k-緩和.mp3]
relief, mitigation, alleviation, relaxation, softening	<b>緩和</b> <br> かんわ <br> [sound:4c-k-緩和.mp3]
[sound:4c-s-規制の緩和が検討されています。.mp3]	<b>規制の緩和が検討されています。</b> <br> きせいのかんわがけんとうされています。 <br><br> (緩和) <br> Relaxation of regulations is being considered.
規制の緩和が検討されています。 <br><br> (緩和)	<b>きせいのかんわがけんとうされています。</b> <br> Relaxation of regulations is being considered. <br> [sound:4c-s-規制の緩和が検討されています。.mp3]
Relaxation of regulations is being considered.	<b>規制の緩和が検討されています。</b> <br> きせいのかんわがけんとうされています。 <br><br> (緩和) <br> [sound:4c-s-規制の緩和が検討されています。.mp3]
[sound:4c-k-朝鮮民主主義人民共和国.mp3]	<b>朝鮮民主主義人民共和国</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこく <br> Democratic People's Republic of Korea (North Korea), DPRK
朝鮮民主主義人民共和国	<b>ちょうせんみんしゅしゅぎじんみんきょうわこく</b> <br> Democratic People's Republic of Korea (North Korea), DPRK <br> [sound:4c-k-朝鮮民主主義人民共和国.mp3]
Democratic People's Republic of Korea (North Korea), DPRK	<b>朝鮮民主主義人民共和国</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこく <br> [sound:4c-k-朝鮮民主主義人民共和国.mp3]
[sound:4c-s-朝鮮民主主義人民共和国の状況が報道されました。.mp3]	<b>朝鮮民主主義人民共和国の状況が報道されました。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくのじょうきょうがほうどうされました。 <br><br> (朝鮮民主主義人民共和国) <br> The situation in North Korea was reported.
朝鮮民主主義人民共和国の状況が報道されました。 <br><br> (朝鮮民主主義人民共和国)	<b>ちょうせんみんしゅしゅぎじんみんきょうわこくのじょうきょうがほうどうされました。</b> <br> The situation in North Korea was reported. <br> [sound:4c-s-朝鮮民主主義人民共和国の状況が報道されました。.mp3]
The situation in North Korea was reported.	<b>朝鮮民主主義人民共和国の状況が報道されました。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくのじょうきょうがほうどうされました。 <br><br> (朝鮮民主主義人民共和国) <br> [sound:4c-s-朝鮮民主主義人民共和国の状況が報道されました。.mp3]
[sound:4c-k-和解.mp3]	<b>和解</b> <br> わかい, わげ <br> reconciliation, settlement, accommodation, compromise, mediation, rapprochement; (legal) settlement; translation of a foreign language into Japanese
和解	<b>わかい, わげ</b> <br> reconciliation, settlement, accommodation, compromise, mediation, rapprochement; (legal) settlement; translation of a foreign language into Japanese <br> [sound:4c-k-和解.mp3]
reconciliation, settlement, accommodation, compromise, mediation, rapprochement; (legal) settlement; translation of a foreign language into Japanese	<b>和解</b> <br> わかい, わげ <br> [sound:4c-k-和解.mp3]
[sound:4c-s-両者は和解しました。.mp3]	<b>両者は和解しました。</b> <br> りょうしゃはわかいしました。 <br><br> (和解) <br> Both parties reconciled.
両者は和解しました。 <br><br> (和解)	<b>りょうしゃはわかいしました。</b> <br> Both parties reconciled. <br> [sound:4c-s-両者は和解しました。.mp3]
Both parties reconciled.	<b>両者は和解しました。</b> <br> りょうしゃはわかいしました。 <br><br> (和解) <br> [sound:4c-s-両者は和解しました。.mp3]
[sound:4c-k-共和.mp3]	<b>共和</b> <br> きょうわ <br> republicanism, cooperation
共和	<b>きょうわ</b> <br> republicanism, cooperation <br> [sound:4c-k-共和.mp3]
republicanism, cooperation	<b>共和</b> <br> きょうわ <br> [sound:4c-k-共和.mp3]
[sound:4c-s-共和政体が採用されました。.mp3]	<b>共和政体が採用されました。</b> <br> きょうわせいたいがさいようされました。 <br><br> (共和) <br> A republican system was adopted.
共和政体が採用されました。 <br><br> (共和)	<b>きょうわせいたいがさいようされました。</b> <br> A republican system was adopted. <br> [sound:4c-s-共和政体が採用されました。.mp3]
A republican system was adopted.	<b>共和政体が採用されました。</b> <br> きょうわせいたいがさいようされました。 <br><br> (共和) <br> [sound:4c-s-共和政体が採用されました。.mp3]
[sound:4c-k-統合.mp3]	<b>統合</b> <br> とうごう <br> integration, unification, synthesis; integrated, built-in
統合	<b>とうごう</b> <br> integration, unification, synthesis; integrated, built-in <br> [sound:4c-k-統合.mp3]
integration, unification, synthesis; integrated, built-in	<b>統合</b> <br> とうごう <br> [sound:4c-k-統合.mp3]
[sound:4c-s-両社は統合されました。.mp3]	<b>両社は統合されました。</b> <br> りょうしゃはとうごうされました。 <br><br> (統合) <br> Both companies merged.
両社は統合されました。 <br><br> (統合)	<b>りょうしゃはとうごうされました。</b> <br> Both companies merged. <br> [sound:4c-s-両社は統合されました。.mp3]
Both companies merged.	<b>両社は統合されました。</b> <br> りょうしゃはとうごうされました。 <br><br> (統合) <br> [sound:4c-s-両社は統合されました。.mp3]
[sound:4c-k-統計.mp3]	<b>統計</b> <br> とうけい <br> statistics
統計	<b>とうけい</b> <br> statistics <br> [sound:4c-k-統計.mp3]
statistics	<b>統計</b> <br> とうけい <br> [sound:4c-k-統計.mp3]
[sound:4c-s-統計データを分析しています。.mp3]	<b>統計データを分析しています。</b> <br> とうけいデータをぶんせきしています。 <br><br> (統計) <br> I am analyzing statistical data.
統計データを分析しています。 <br><br> (統計)	<b>とうけいデータをぶんせきしています。</b> <br> I am analyzing statistical data. <br> [sound:4c-s-統計データを分析しています。.mp3]
I am analyzing statistical data.	<b>統計データを分析しています。</b> <br> とうけいデータをぶんせきしています。 <br><br> (統計) <br> [sound:4c-s-統計データを分析しています。.mp3]
[sound:4c-k-統治.mp3]	<b>統治</b> <br> とうち, とうじ <br> rule, reign, government, governing
統治	<b>とうち, とうじ</b> <br> rule, reign, government, governing <br> [sound:4c-k-統治.mp3]
rule, reign, government, governing	<b>統治</b> <br> とうち, とうじ <br> [sound:4c-k-統治.mp3]
