tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
Stone bridges are known to be extremely solid.	<b>石炭は一時期、重要なエネルギー源でした。</b> <br> いしばしはひじょうにけんごなはしとしてしられています。 <br><br> (石炭) <br> [sound:4c-s-石炭は一時期、重要なエネルギー源でした。.mp3]
[sound:4c-k-石橋.mp3]	<b>石橋</b> <br> いしばし, せっきょう <br> stone bridge
石橋	<b>いしばし, せっきょう</b> <br> stone bridge <br> [sound:4c-k-石橋.mp3]
stone bridge	<b>石橋</b> <br> いしばし, せっきょう <br> [sound:4c-k-石橋.mp3]
[sound:4c-s-石橋は非常に堅固な橋として知られています。.mp3]	<b>石橋は非常に堅固な橋として知られています。</b> <br> かのじょはうつくしいほうせきをもっています。 <br><br> (石橋) <br> She has beautiful jewels.
石橋は非常に堅固な橋として知られています。 <br><br> (石橋)	<b>かのじょはうつくしいほうせきをもっています。</b> <br> She has beautiful jewels. <br> [sound:4c-s-石橋は非常に堅固な橋として知られています。.mp3]
She has beautiful jewels.	<b>石橋は非常に堅固な橋として知られています。</b> <br> かのじょはうつくしいほうせきをもっています。 <br><br> (石橋) <br> [sound:4c-s-石橋は非常に堅固な橋として知られています。.mp3]
[sound:4c-k-宝石.mp3]	<b>宝石</b> <br> ほうせき <br> gem, jewel
宝石	<b>ほうせき</b> <br> gem, jewel <br> [sound:4c-k-宝石.mp3]
gem, jewel	<b>宝石</b> <br> ほうせき <br> [sound:4c-k-宝石.mp3]
[sound:4c-s-彼女は美しい宝石を持っています。.mp3]	<b>彼女は美しい宝石を持っています。</b> <br> このしろにはふるいいしがきがのこっています。 <br><br> (宝石) <br> This castle has old stone walls.
彼女は美しい宝石を持っています。 <br><br> (宝石)	<b>このしろにはふるいいしがきがのこっています。</b> <br> This castle has old stone walls. <br> [sound:4c-s-彼女は美しい宝石を持っています。.mp3]
This castle has old stone walls.	<b>彼女は美しい宝石を持っています。</b> <br> このしろにはふるいいしがきがのこっています。 <br><br> (宝石) <br> [sound:4c-s-彼女は美しい宝石を持っています。.mp3]
[sound:4c-k-石垣.mp3]	<b>石垣</b> <br> いしがき <br> stone wall
石垣	<b>いしがき</b> <br> stone wall <br> [sound:4c-k-石垣.mp3]
stone wall	<b>石垣</b> <br> いしがき <br> [sound:4c-k-石垣.mp3]
[sound:4c-s-この城には古い石垣が残っています。.mp3]	<b>この城には古い石垣が残っています。</b> <br> かれはそのけっかにまんぞくしています。 <br><br> (石垣) <br> He is satisfied with the result.
この城には古い石垣が残っています。 <br><br> (石垣)	<b>かれはそのけっかにまんぞくしています。</b> <br> He is satisfied with the result. <br> [sound:4c-s-この城には古い石垣が残っています。.mp3]
He is satisfied with the result.	<b>この城には古い石垣が残っています。</b> <br> かれはそのけっかにまんぞくしています。 <br><br> (石垣) <br> [sound:4c-s-この城には古い石垣が残っています。.mp3]
[sound:4c-k-満足.mp3]	<b>満足</b> <br> まんぞく <br> satisfaction; sufficiency
満足	<b>まんぞく</b> <br> satisfaction; sufficiency <br> [sound:4c-k-満足.mp3]
satisfaction; sufficiency	<b>満足</b> <br> まんぞく <br> [sound:4c-k-満足.mp3]
[sound:4c-s-彼はその結果に満足しています。.mp3]	<b>彼はその結果に満足しています。</b> <br> ちーむのあしなみをそろえてすすむことがたいせつです。 <br><br> (満足) <br> It’s important to move forward together as a team.
彼はその結果に満足しています。 <br><br> (満足)	<b>ちーむのあしなみをそろえてすすむことがたいせつです。</b> <br> It’s important to move forward together as a team. <br> [sound:4c-s-彼はその結果に満足しています。.mp3]
It’s important to move forward together as a team.	<b>彼はその結果に満足しています。</b> <br> ちーむのあしなみをそろえてすすむことがたいせつです。 <br><br> (満足) <br> [sound:4c-s-彼はその結果に満足しています。.mp3]
[sound:4c-k-足並み.mp3]	<b>足並み</b> <br> あしなみ <br> pace, step
足並み	<b>あしなみ</b> <br> pace, step <br> [sound:4c-k-足並み.mp3]
pace, step	<b>足並み</b> <br> あしなみ <br> [sound:4c-k-足並み.mp3]
[sound:4c-s-チームの足並みを揃えて進むことが大切です。.mp3]	<b>チームの足並みを揃えて進むことが大切です。</b> <br> あしもとにきをつけてあるいてください。 <br><br> (足並み) <br> Please watch your step as you walk.
チームの足並みを揃えて進むことが大切です。 <br><br> (足並み)	<b>あしもとにきをつけてあるいてください。</b> <br> Please watch your step as you walk. <br> [sound:4c-s-チームの足並みを揃えて進むことが大切です。.mp3]
Please watch your step as you walk.	<b>チームの足並みを揃えて進むことが大切です。</b> <br> あしもとにきをつけてあるいてください。 <br><br> (足並み) <br> [sound:4c-s-チームの足並みを揃えて進むことが大切です。.mp3]
[sound:4c-k-足元.mp3]	<b>足元</b> <br> あしもと, そっか <br> at one's feet, underfoot; gait, pace, step; you, thou
足元	<b>あしもと, そっか</b> <br> at one's feet, underfoot; gait, pace, step; you, thou <br> [sound:4c-k-足元.mp3]
at one's feet, underfoot; gait, pace, step; you, thou	<b>足元</b> <br> あしもと, そっか <br> [sound:4c-k-足元.mp3]
[sound:4c-s-足元に気を付けて歩いてください。.mp3]	<b>足元に気を付けて歩いてください。</b> <br> そのもんだいはてあしをつかってかいけつすることができます。 <br><br> (足元) <br> This problem can be solved by using hands and feet.
足元に気を付けて歩いてください。 <br><br> (足元)	<b>そのもんだいはてあしをつかってかいけつすることができます。</b> <br> This problem can be solved by using hands and feet. <br> [sound:4c-s-足元に気を付けて歩いてください。.mp3]
This problem can be solved by using hands and feet.	<b>足元に気を付けて歩いてください。</b> <br> そのもんだいはてあしをつかってかいけつすることができます。 <br><br> (足元) <br> [sound:4c-s-足元に気を付けて歩いてください。.mp3]
[sound:4c-k-手足.mp3]	<b>手足</b> <br> てあし <br> one's hands and feet, limbs
手足	<b>てあし</b> <br> one's hands and feet, limbs <br> [sound:4c-k-手足.mp3]
one's hands and feet, limbs	<b>手足</b> <br> てあし <br> [sound:4c-k-手足.mp3]
[sound:4c-s-その問題は手足を使って解決することができます。.mp3]	<b>その問題は手足を使って解決することができます。</b> <br> そのこういはいほうです。 <br><br> (手足) <br> That action is illegal.
その問題は手足を使って解決することができます。 <br><br> (手足)	<b>そのこういはいほうです。</b> <br> That action is illegal. <br> [sound:4c-s-その問題は手足を使って解決することができます。.mp3]
That action is illegal.	<b>その問題は手足を使って解決することができます。</b> <br> そのこういはいほうです。 <br><br> (手足) <br> [sound:4c-s-その問題は手足を使って解決することができます。.mp3]
[sound:4c-k-違法.mp3]	<b>違法</b> <br> いほう <br> illegal, illegality, invalid, unlawfulness
違法	<b>いほう</b> <br> illegal, illegality, invalid, unlawfulness <br> [sound:4c-k-違法.mp3]
illegal, illegality, invalid, unlawfulness	<b>違法</b> <br> いほう <br> [sound:4c-k-違法.mp3]
[sound:4c-s-その行為は違法です。.mp3]	<b>その行為は違法です。</b> <br> これはおおきなまちがいでした。 <br><br> (違法) <br> This was a big mistake.
その行為は違法です。 <br><br> (違法)	<b>これはおおきなまちがいでした。</b> <br> This was a big mistake. <br> [sound:4c-s-その行為は違法です。.mp3]
This was a big mistake.	<b>その行為は違法です。</b> <br> これはおおきなまちがいでした。 <br><br> (違法) <br> [sound:4c-s-その行為は違法です。.mp3]
[sound:4c-k-間違い.mp3]	<b>間違い</b> <br> まちがい <br> mistake
間違い	<b>まちがい</b> <br> mistake <br> [sound:4c-k-間違い.mp3]
mistake	<b>間違い</b> <br> まちがい <br> [sound:4c-k-間違い.mp3]
[sound:4c-s-これは大きな間違いでした。.mp3]	<b>これは大きな間違いでした。</b> <br> いけんにそういがありました。 <br><br> (間違い) <br> There was a difference of opinion.
これは大きな間違いでした。 <br><br> (間違い)	<b>いけんにそういがありました。</b> <br> There was a difference of opinion. <br> [sound:4c-s-これは大きな間違いでした。.mp3]
There was a difference of opinion.	<b>これは大きな間違いでした。</b> <br> いけんにそういがありました。 <br><br> (間違い) <br> [sound:4c-s-これは大きな間違いでした。.mp3]
[sound:4c-k-相違.mp3]	<b>相違</b> <br> そうい <br> difference, discrepancy, variation
相違	<b>そうい</b> <br> difference, discrepancy, variation <br> [sound:4c-k-相違.mp3]
difference, discrepancy, variation	<b>相違</b> <br> そうい <br> [sound:4c-k-相違.mp3]
[sound:4c-s-意見に相違がありました。.mp3]	<b>意見に相違がありました。</b> <br> そのばしょにはなにかいわかんをかんじました。 <br><br> (相違) <br> I felt something out of place in that location.
意見に相違がありました。 <br><br> (相違)	<b>そのばしょにはなにかいわかんをかんじました。</b> <br> I felt something out of place in that location. <br> [sound:4c-s-意見に相違がありました。.mp3]
I felt something out of place in that location.	<b>意見に相違がありました。</b> <br> そのばしょにはなにかいわかんをかんじました。 <br><br> (相違) <br> [sound:4c-s-意見に相違がありました。.mp3]
[sound:4c-k-違和感.mp3]	<b>違和感</b> <br> いわかん <br> uncomfortable feeling, feeling out of place, sense of discomfort; malaise, physical unease
違和感	<b>いわかん</b> <br> uncomfortable feeling, feeling out of place, sense of discomfort; malaise, physical unease <br> [sound:4c-k-違和感.mp3]
uncomfortable feeling, feeling out of place, sense of discomfort; malaise, physical unease	<b>違和感</b> <br> いわかん <br> [sound:4c-k-違和感.mp3]
[sound:4c-s-その場所には何か違和感を感じました。.mp3]	<b>その場所には何か違和感を感じました。</b> <br> すとれすをかいしょうするためにうんどうをしています。 <br><br> (違和感) <br> I exercise to relieve stress.
その場所には何か違和感を感じました。 <br><br> (違和感)	<b>すとれすをかいしょうするためにうんどうをしています。</b> <br> I exercise to relieve stress. <br> [sound:4c-s-その場所には何か違和感を感じました。.mp3]
I exercise to relieve stress.	<b>その場所には何か違和感を感じました。</b> <br> すとれすをかいしょうするためにうんどうをしています。 <br><br> (違和感) <br> [sound:4c-s-その場所には何か違和感を感じました。.mp3]
[sound:4c-k-解消.mp3]	<b>解消</b> <br> かいしょう <br> cancellation, liquidation, resolution, reduction (e.g. of stress)
