この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
[sound:4c-s-国の安全保障が重要な課題です。.mp3]	<b>国の安全保障が重要な課題です。</b> <br> くにのあんぜんほしょうがじゅうようなかだいです。 <br><br> (安全保障) <br> National security is an important issue.
国の安全保障が重要な課題です。 <br><br> (安全保障)	<b>くにのあんぜんほしょうがじゅうようなかだいです。</b> <br> National security is an important issue. <br> [sound:4c-s-国の安全保障が重要な課題です。.mp3]
National security is an important issue.	<b>国の安全保障が重要な課題です。</b> <br> くにのあんぜんほしょうがじゅうようなかだいです。 <br><br> (安全保障) <br> [sound:4c-s-国の安全保障が重要な課題です。.mp3]
[sound:4c-k-目的.mp3]	<b>目的</b> <br> もくてき <br> purpose, goal, aim, objective, intention
目的	<b>もくてき</b> <br> purpose, goal, aim, objective, intention <br> [sound:4c-k-目的.mp3]
purpose, goal, aim, objective, intention	<b>目的</b> <br> もくてき <br> [sound:4c-k-目的.mp3]
[sound:4c-s-このプロジェクトの目的は環境保護です。.mp3]	<b>このプロジェクトの目的は環境保護です。</b> <br> このプロジェクトのもくてきはかんきょうほごです。 <br><br> (目的) <br> The purpose of this project is environmental protection.
このプロジェクトの目的は環境保護です。 <br><br> (目的)	<b>このプロジェクトのもくてきはかんきょうほごです。</b> <br> The purpose of this project is environmental protection. <br> [sound:4c-s-このプロジェクトの目的は環境保護です。.mp3]
The purpose of this project is environmental protection.	<b>このプロジェクトの目的は環境保護です。</b> <br> このプロジェクトのもくてきはかんきょうほごです。 <br><br> (目的) <br> [sound:4c-s-このプロジェクトの目的は環境保護です。.mp3]
[sound:4c-k-目標.mp3]	<b>目標</b> <br> もくひょう <br> mark, objective, target
目標	<b>もくひょう</b> <br> mark, objective, target <br> [sound:4c-k-目標.mp3]
mark, objective, target	<b>目標</b> <br> もくひょう <br> [sound:4c-k-目標.mp3]
[sound:4c-s-彼は目標を達成しました。.mp3]	<b>彼は目標を達成しました。</b> <br> かれはもくひょうをたっせいしました。 <br><br> (目標) <br> He achieved his goal.
彼は目標を達成しました。 <br><br> (目標)	<b>かれはもくひょうをたっせいしました。</b> <br> He achieved his goal. <br> [sound:4c-s-彼は目標を達成しました。.mp3]
He achieved his goal.	<b>彼は目標を達成しました。</b> <br> かれはもくひょうをたっせいしました。 <br><br> (目標) <br> [sound:4c-s-彼は目標を達成しました。.mp3]
[sound:4c-k-注目.mp3]	<b>注目</b> <br> ちゅうもく <br> notice, attention, observation
注目	<b>ちゅうもく</b> <br> notice, attention, observation <br> [sound:4c-k-注目.mp3]
notice, attention, observation	<b>注目</b> <br> ちゅうもく <br> [sound:4c-k-注目.mp3]
[sound:4c-s-彼の才能に注目が集まっています。.mp3]	<b>彼の才能に注目が集まっています。</b> <br> かれのさいのうにちゅうもくがあつまっています。 <br><br> (注目) <br> His talent is attracting attention.
彼の才能に注目が集まっています。 <br><br> (注目)	<b>かれのさいのうにちゅうもくがあつまっています。</b> <br> His talent is attracting attention. <br> [sound:4c-s-彼の才能に注目が集まっています。.mp3]
His talent is attracting attention.	<b>彼の才能に注目が集まっています。</b> <br> かれのさいのうにちゅうもくがあつまっています。 <br><br> (注目) <br> [sound:4c-s-彼の才能に注目が集まっています。.mp3]
[sound:4c-k-項目.mp3]	<b>項目</b> <br> こうもく <br> (data) item, entry
項目	<b>こうもく</b> <br> (data) item, entry <br> [sound:4c-k-項目.mp3]
(data) item, entry	<b>項目</b> <br> こうもく <br> [sound:4c-k-項目.mp3]
[sound:4c-s-この報告書には重要な項目が含まれています。.mp3]	<b>この報告書には重要な項目が含まれています。</b> <br> このほうこくしょにはじゅうようなこうもくがふくまれています。 <br><br> (項目) <br> This report contains important items.
この報告書には重要な項目が含まれています。 <br><br> (項目)	<b>このほうこくしょにはじゅうようなこうもくがふくまれています。</b> <br> This report contains important items. <br> [sound:4c-s-この報告書には重要な項目が含まれています。.mp3]
This report contains important items.	<b>この報告書には重要な項目が含まれています。</b> <br> このほうこくしょにはじゅうようなこうもくがふくまれています。 <br><br> (項目) <br> [sound:4c-s-この報告書には重要な項目が含まれています。.mp3]
[sound:4c-k-表.mp3]	<b>表</b> <br> おもて <br> surface; face (i.e. the visible side of an object); front (of a building, etc.), obverse side (i.e. "head") of a coin; outside, exterior; appearance; public; first half (of an innings), top (of an inning); cover (for tatami mats, etc.); foreground
表	<b>おもて</b> <br> surface; face (i.e. the visible side of an object); front (of a building, etc.), obverse side (i.e. "head") of a coin; outside, exterior; appearance; public; first half (of an innings), top (of an inning); cover (for tatami mats, etc.); foreground <br> [sound:4c-k-表.mp3]
surface; face (i.e. the visible side of an object); front (of a building, etc.), obverse side (i.e. "head") of a coin; outside, exterior; appearance; public; first half (of an innings), top (of an inning); cover (for tatami mats, etc.); foreground	<b>表</b> <br> おもて <br> [sound:4c-k-表.mp3]
[sound:4c-s-会議の資料を表にまとめました。.mp3]	<b>会議の資料を表にまとめました。</b> <br> かいぎのしりょうをひょうにまとめました。 <br><br> (表) <br> I summarized the meeting materials in a table.
会議の資料を表にまとめました。 <br><br> (表)	<b>かいぎのしりょうをひょうにまとめました。</b> <br> I summarized the meeting materials in a table. <br> [sound:4c-s-会議の資料を表にまとめました。.mp3]
I summarized the meeting materials in a table.	<b>会議の資料を表にまとめました。</b> <br> かいぎのしりょうをひょうにまとめました。 <br><br> (表) <br> [sound:4c-s-会議の資料を表にまとめました。.mp3]
[sound:4c-k-代表.mp3]	<b>代表</b> <br> だいひょう <br> representative, representation, delegation, type, example, model
代表	<b>だいひょう</b> <br> representative, representation, delegation, type, example, model <br> [sound:4c-k-代表.mp3]
representative, representation, delegation, type, example, model	<b>代表</b> <br> だいひょう <br> [sound:4c-k-代表.mp3]
[sound:4c-s-彼はチームの代表です。.mp3]	<b>彼はチームの代表です。</b> <br> かれはチームのだいひょうです。 <br><br> (代表) <br> He is the representative of the team.
彼はチームの代表です。 <br><br> (代表)	<b>かれはチームのだいひょうです。</b> <br> He is the representative of the team. <br> [sound:4c-s-彼はチームの代表です。.mp3]
He is the representative of the team.	<b>彼はチームの代表です。</b> <br> かれはチームのだいひょうです。 <br><br> (代表) <br> [sound:4c-s-彼はチームの代表です。.mp3]
[sound:4c-k-発表.mp3]	<b>発表</b> <br> はっぴょう <br> announcement, publication
発表	<b>はっぴょう</b> <br> announcement, publication <br> [sound:4c-k-発表.mp3]
announcement, publication	<b>発表</b> <br> はっぴょう <br> [sound:4c-k-発表.mp3]
[sound:4c-s-新しい製品が発表されました。.mp3]	<b>新しい製品が発表されました。</b> <br> あたらしいせいひんがはっぴょうされました。 <br><br> (発表) <br> A new product was announced.
新しい製品が発表されました。 <br><br> (発表)	<b>あたらしいせいひんがはっぴょうされました。</b> <br> A new product was announced. <br> [sound:4c-s-新しい製品が発表されました。.mp3]
A new product was announced.	<b>新しい製品が発表されました。</b> <br> あたらしいせいひんがはっぴょうされました。 <br><br> (発表) <br> [sound:4c-s-新しい製品が発表されました。.mp3]
[sound:4c-k-表現.mp3]	<b>表現</b> <br> ひょうげん <br> expression, presentation; representation, notation
表現	<b>ひょうげん</b> <br> expression, presentation; representation, notation <br> [sound:4c-k-表現.mp3]
expression, presentation; representation, notation	<b>表現</b> <br> ひょうげん <br> [sound:4c-k-表現.mp3]
[sound:4c-s-彼の表現はとてもユニークです。.mp3]	<b>彼の表現はとてもユニークです。</b> <br> かれのひょうげんはとてもユニークです。 <br><br> (表現) <br> His expression is very unique.
彼の表現はとてもユニークです。 <br><br> (表現)	<b>かれのひょうげんはとてもユニークです。</b> <br> His expression is very unique. <br> [sound:4c-s-彼の表現はとてもユニークです。.mp3]
His expression is very unique.	<b>彼の表現はとてもユニークです。</b> <br> かれのひょうげんはとてもユニークです。 <br><br> (表現) <br> [sound:4c-s-彼の表現はとてもユニークです。.mp3]
[sound:4c-k-戦い.mp3]	<b>戦い</b> <br> たたかい <br> battle, fight, struggle, conflict
戦い	<b>たたかい</b> <br> battle, fight, struggle, conflict <br> [sound:4c-k-戦い.mp3]
battle, fight, struggle, conflict	<b>戦い</b> <br> たたかい <br> [sound:4c-k-戦い.mp3]
[sound:4c-s-彼らは厳しい戦いを続けています。.mp3]	<b>彼らは厳しい戦いを続けています。</b> <br> かれらはきびしいたたかいをつづけています。 <br><br> (戦い) <br> They continue a tough battle.
彼らは厳しい戦いを続けています。 <br><br> (戦い)	<b>かれらはきびしいたたかいをつづけています。</b> <br> They continue a tough battle. <br> [sound:4c-s-彼らは厳しい戦いを続けています。.mp3]
They continue a tough battle.	<b>彼らは厳しい戦いを続けています。</b> <br> かれらはきびしいたたかいをつづけています。 <br><br> (戦い) <br> [sound:4c-s-彼らは厳しい戦いを続けています。.mp3]
[sound:4c-k-戦争.mp3]	<b>戦争</b> <br> せんそう <br> war
戦争	<b>せんそう</b> <br> war <br> [sound:4c-k-戦争.mp3]
war	<b>戦争</b> <br> せんそう <br> [sound:4c-k-戦争.mp3]
[sound:4c-s-戦争の悲惨さを忘れてはいけません。.mp3]	<b>戦争の悲惨さを忘れてはいけません。</b> <br> せんそうのひさんさをわすれてはいけません。 <br><br> (戦争) <br> We must not forget the horrors of war.
戦争の悲惨さを忘れてはいけません。 <br><br> (戦争)	<b>せんそうのひさんさをわすれてはいけません。</b> <br> We must not forget the horrors of war. <br> [sound:4c-s-戦争の悲惨さを忘れてはいけません。.mp3]
We must not forget the horrors of war.	<b>戦争の悲惨さを忘れてはいけません。</b> <br> せんそうのひさんさをわすれてはいけません。 <br><br> (戦争) <br> [sound:4c-s-戦争の悲惨さを忘れてはいけません。.mp3]
[sound:4c-k-戦後.mp3]	<b>戦後</b> <br> せんご <br> postwar period, period after Second World War
戦後	<b>せんご</b> <br> postwar period, period after Second World War <br> [sound:4c-k-戦後.mp3]
postwar period, period after Second World War	<b>戦後</b> <br> せんご <br> [sound:4c-k-戦後.mp3]
[sound:4c-s-戦後、日本は急速に発展しました。.mp3]	<b>戦後、日本は急速に発展しました。</b> <br> せんご、にほんはきゅうそくにはってんしました。 <br><br> (戦後) <br> After the war, Japan developed rapidly.
戦後、日本は急速に発展しました。 <br><br> (戦後)	<b>せんご、にほんはきゅうそくにはってんしました。</b> <br> After the war, Japan developed rapidly. <br> [sound:4c-s-戦後、日本は急速に発展しました。.mp3]
After the war, Japan developed rapidly.	<b>戦後、日本は急速に発展しました。</b> <br> せんご、にほんはきゅうそくにはってんしました。 <br><br> (戦後) <br> [sound:4c-s-戦後、日本は急速に発展しました。.mp3]
[sound:4c-k-作戦.mp3]	<b>作戦</b> <br> さくせん <br> tactics, strategy; military or naval operations
作戦	<b>さくせん</b> <br> tactics, strategy; military or naval operations <br> [sound:4c-k-作戦.mp3]
tactics, strategy; military or naval operations	<b>作戦</b> <br> さくせん <br> [sound:4c-k-作戦.mp3]
[sound:4c-s-軍は新しい作戦を準備しています。.mp3]	<b>軍は新しい作戦を準備しています。</b> <br> ぐんはあたらしいさくせんをじゅんびしています。 <br><br> (作戦) <br> The military is preparing a new operation.
軍は新しい作戦を準備しています。 <br><br> (作戦)	<b>ぐんはあたらしいさくせんをじゅんびしています。</b> <br> The military is preparing a new operation. <br> [sound:4c-s-軍は新しい作戦を準備しています。.mp3]
The military is preparing a new operation.	<b>軍は新しい作戦を準備しています。</b> <br> ぐんはあたらしいさくせんをじゅんびしています。 <br><br> (作戦) <br> [sound:4c-s-軍は新しい作戦を準備しています。.mp3]
[sound:4c-k-経.mp3]	<b>経</b> <br> きょう <br> sutra, Buddhist scriptures
経	<b>きょう</b> <br> sutra, Buddhist scriptures <br> [sound:4c-k-経.mp3]
sutra, Buddhist scriptures	<b>経</b> <br> きょう <br> [sound:4c-k-経.mp3]
[sound:4c-s-彼は長い間、経済の研究を続けています。.mp3]	<b>彼は長い間、経済の研究を続けています。</b> <br> かれはながいあいだ、けいざいのけんきゅうをつづけています。 <br><br> (経) <br> He has been researching economics for a long time.
彼は長い間、経済の研究を続けています。 <br><br> (経)	<b>かれはながいあいだ、けいざいのけんきゅうをつづけています。</b> <br> He has been researching economics for a long time. <br> [sound:4c-s-彼は長い間、経済の研究を続けています。.mp3]
He has been researching economics for a long time.	<b>彼は長い間、経済の研究を続けています。</b> <br> かれはながいあいだ、けいざいのけんきゅうをつづけています。 <br><br> (経) <br> [sound:4c-s-彼は長い間、経済の研究を続けています。.mp3]
[sound:4c-k-経営.mp3]	<b>経営</b> <br> けいえい <br> management, administration
経営	<b>けいえい</b> <br> management, administration <br> [sound:4c-k-経営.mp3]
management, administration	<b>経営</b> <br> けいえい <br> [sound:4c-k-経営.mp3]
[sound:4c-s-彼は会社の経営を任されています。.mp3]	<b>彼は会社の経営を任されています。</b> <br> かれはかいしゃのけいえいをまかされています。 <br><br> (経営) <br> He is entrusted with the management of the company.
彼は会社の経営を任されています。 <br><br> (経営)	<b>かれはかいしゃのけいえいをまかされています。</b> <br> He is entrusted with the management of the company. <br> [sound:4c-s-彼は会社の経営を任されています。.mp3]
He is entrusted with the management of the company.	<b>彼は会社の経営を任されています。</b> <br> かれはかいしゃのけいえいをまかされています。 <br><br> (経営) <br> [sound:4c-s-彼は会社の経営を任されています。.mp3]
[sound:4c-k-経済.mp3]	<b>経済</b> <br> けいざい <br> economics, business, finance, economy
経済	<b>けいざい</b> <br> economics, business, finance, economy <br> [sound:4c-k-経済.mp3]
economics, business, finance, economy	<b>経済</b> <br> けいざい <br> [sound:4c-k-経済.mp3]
[sound:4c-s-経済の成長が続いています。.mp3]	<b>経済の成長が続いています。</b> <br> けいざいのせいちょうがつづいています。 <br><br> (経済) <br> Economic growth is continuing.
経済の成長が続いています。 <br><br> (経済)	<b>けいざいのせいちょうがつづいています。</b> <br> Economic growth is continuing. <br> [sound:4c-s-経済の成長が続いています。.mp3]
Economic growth is continuing.	<b>経済の成長が続いています。</b> <br> けいざいのせいちょうがつづいています。 <br><br> (経済) <br> [sound:4c-s-経済の成長が続いています。.mp3]
[sound:4c-k-経験.mp3]	<b>経験</b> <br> けいけん <br> experience
経験	<b>けいけん</b> <br> experience <br> [sound:4c-k-経験.mp3]
experience	<b>経験</b> <br> けいけん <br> [sound:4c-k-経験.mp3]
[sound:4c-s-この仕事で多くの経験を積みました。.mp3]	<b>この仕事で多くの経験を積みました。</b> <br> このしごとでおおくのけいけんをつみました。 <br><br> (経験) <br> I have gained a lot of experience in this job.
この仕事で多くの経験を積みました。 <br><br> (経験)	<b>このしごとでおおくのけいけんをつみました。</b> <br> I have gained a lot of experience in this job. <br> [sound:4c-s-この仕事で多くの経験を積みました。.mp3]
I have gained a lot of experience in this job.	<b>この仕事で多くの経験を積みました。</b> <br> このしごとでおおくのけいけんをつみました。 <br><br> (経験) <br> [sound:4c-s-この仕事で多くの経験を積みました。.mp3]
[sound:4c-k-通り.mp3]	<b>通り</b> <br> どおり <br> in accordance with ..., following ...; .. Street, .. Avenue
通り	<b>どおり</b> <br> in accordance with ..., following ...; .. Street, .. Avenue <br> [sound:4c-k-通り.mp3]
in accordance with ..., following ...; .. Street, .. Avenue	<b>通り</b> <br> どおり <br> [sound:4c-k-通り.mp3]
[sound:4c-s-この通りには多くの店があります。.mp3]	<b>この通りには多くの店があります。</b> <br> このとおりにはおおくのみせがあります。 <br><br> (通り) <br> There are many shops on this street.
この通りには多くの店があります。 <br><br> (通り)	<b>このとおりにはおおくのみせがあります。</b> <br> There are many shops on this street. <br> [sound:4c-s-この通りには多くの店があります。.mp3]
There are many shops on this street.	<b>この通りには多くの店があります。</b> <br> このとおりにはおおくのみせがあります。 <br><br> (通り) <br> [sound:4c-s-この通りには多くの店があります。.mp3]
[sound:4c-k-通信.mp3]	<b>通信</b> <br> つうしん <br> correspondence, communication, transmission, news, signal
通信	<b>つうしん</b> <br> correspondence, communication, transmission, news, signal <br> [sound:4c-k-通信.mp3]
correspondence, communication, transmission, news, signal	<b>通信</b> <br> つうしん <br> [sound:4c-k-通信.mp3]
[sound:4c-s-通信技術が急速に進化しています。.mp3]	<b>通信技術が急速に進化しています。</b> <br> つうしんぎじゅつがきゅうそくにしんかしています。 <br><br> (通信) <br> Communication technology is evolving rapidly.
通信技術が急速に進化しています。 <br><br> (通信)	<b>つうしんぎじゅつがきゅうそくにしんかしています。</b> <br> Communication technology is evolving rapidly. <br> [sound:4c-s-通信技術が急速に進化しています。.mp3]
Communication technology is evolving rapidly.	<b>通信技術が急速に進化しています。</b> <br> つうしんぎじゅつがきゅうそくにしんかしています。 <br><br> (通信) <br> [sound:4c-s-通信技術が急速に進化しています。.mp3]
[sound:4c-k-見通し.mp3]	<b>見通し</b> <br> みとおし <br> perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility
見通し	<b>みとおし</b> <br> perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility <br> [sound:4c-k-見通し.mp3]
perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility	<b>見通し</b> <br> みとおし <br> [sound:4c-k-見通し.mp3]
[sound:4c-s-経済の見通しは明るいです。.mp3]	<b>経済の見通しは明るいです。</b> <br> けいざいのみとおしはあかるいです。 <br><br> (見通し) <br> The economic outlook is bright.
経済の見通しは明るいです。 <br><br> (見通し)	<b>けいざいのみとおしはあかるいです。</b> <br> The economic outlook is bright. <br> [sound:4c-s-経済の見通しは明るいです。.mp3]
The economic outlook is bright.	<b>経済の見通しは明るいです。</b> <br> けいざいのみとおしはあかるいです。 <br><br> (見通し) <br> [sound:4c-s-経済の見通しは明るいです。.mp3]
[sound:4c-k-共通.mp3]	<b>共通</b> <br> きょうつう <br> commonness, community
共通	<b>きょうつう</b> <br> commonness, community <br> [sound:4c-k-共通.mp3]
commonness, community	<b>共通</b> <br> きょうつう <br> [sound:4c-k-共通.mp3]
[sound:4c-s-私たちには共通の目標があります。.mp3]	<b>私たちには共通の目標があります。</b> <br> わたしたちにはきょうつうのもくひょうがあります。 <br><br> (共通) <br> We have a common goal.
私たちには共通の目標があります。 <br><br> (共通)	<b>わたしたちにはきょうつうのもくひょうがあります。</b> <br> We have a common goal. <br> [sound:4c-s-私たちには共通の目標があります。.mp3]
We have a common goal.	<b>私たちには共通の目標があります。</b> <br> わたしたちにはきょうつうのもくひょうがあります。 <br><br> (共通) <br> [sound:4c-s-私たちには共通の目標があります。.mp3]
[sound:4c-k-外.mp3]	<b>外</b> <br> ほか <br> other (esp. places and things), the rest
外	<b>ほか</b> <br> other (esp. places and things), the rest <br> [sound:4c-k-外.mp3]
other (esp. places and things), the rest	<b>外</b> <br> ほか <br> [sound:4c-k-外.mp3]
[sound:4c-s-外で遊ぶのが好きです。.mp3]	<b>外で遊ぶのが好きです。</b> <br> そとであそぶのがすきです。 <br><br> (外) <br> I like playing outside.
外で遊ぶのが好きです。 <br><br> (外)	<b>そとであそぶのがすきです。</b> <br> I like playing outside. <br> [sound:4c-s-外で遊ぶのが好きです。.mp3]
I like playing outside.	<b>外で遊ぶのが好きです。</b> <br> そとであそぶのがすきです。 <br><br> (外) <br> [sound:4c-s-外で遊ぶのが好きです。.mp3]
[sound:4c-k-海外.mp3]	<b>海外</b> <br> かいがい <br> foreign, abroad, overseas
海外	<b>かいがい</b> <br> foreign, abroad, overseas <br> [sound:4c-k-海外.mp3]
foreign, abroad, overseas	<b>海外</b> <br> かいがい <br> [sound:4c-k-海外.mp3]
[sound:4c-s-海外旅行を計画しています。.mp3]	<b>海外旅行を計画しています。</b> <br> かいがいりょこうをけいかくしています。 <br><br> (海外) <br> I'm planning an overseas trip.
海外旅行を計画しています。 <br><br> (海外)	<b>かいがいりょこうをけいかくしています。</b> <br> I'm planning an overseas trip. <br> [sound:4c-s-海外旅行を計画しています。.mp3]
I'm planning an overseas trip.	<b>海外旅行を計画しています。</b> <br> かいがいりょこうをけいかくしています。 <br><br> (海外) <br> [sound:4c-s-海外旅行を計画しています。.mp3]
[sound:4c-k-外交.mp3]	<b>外交</b> <br> がいこう <br> diplomacy
外交	<b>がいこう</b> <br> diplomacy <br> [sound:4c-k-外交.mp3]
diplomacy	<b>外交</b> <br> がいこう <br> [sound:4c-k-外交.mp3]
[sound:4c-s-外交関係が改善されました。.mp3]	<b>外交関係が改善されました。</b> <br> がいこうかんけいがかいぜんされました。 <br><br> (外交) <br> Diplomatic relations have improved.
外交関係が改善されました。 <br><br> (外交)	<b>がいこうかんけいがかいぜんされました。</b> <br> Diplomatic relations have improved. <br> [sound:4c-s-外交関係が改善されました。.mp3]
Diplomatic relations have improved.	<b>外交関係が改善されました。</b> <br> がいこうかんけいがかいぜんされました。 <br><br> (外交) <br> [sound:4c-s-外交関係が改善されました。.mp3]
[sound:4c-k-外国.mp3]	<b>外国</b> <br> がいこく <br> foreign country
外国	<b>がいこく</b> <br> foreign country <br> [sound:4c-k-外国.mp3]
foreign country	<b>外国</b> <br> がいこく <br> [sound:4c-k-外国.mp3]
[sound:4c-s-外国の文化に興味があります。.mp3]	<b>外国の文化に興味があります。</b> <br> がいこくのぶんかにきょうみがあります。 <br><br> (外国) <br> I'm interested in foreign cultures.
外国の文化に興味があります。 <br><br> (外国)	<b>がいこくのぶんかにきょうみがあります。</b> <br> I'm interested in foreign cultures. <br> [sound:4c-s-外国の文化に興味があります。.mp3]
I'm interested in foreign cultures.	<b>外国の文化に興味があります。</b> <br> がいこくのぶんかにきょうみがあります。 <br><br> (外国) <br> [sound:4c-s-外国の文化に興味があります。.mp3]
[sound:4c-k-最も.mp3]	<b>最も</b> <br> もっとも <br> most, extremely
最も	<b>もっとも</b> <br> most, extremely <br> [sound:4c-k-最も.mp3]
most, extremely	<b>最も</b> <br> もっとも <br> [sound:4c-k-最も.mp3]
[sound:4c-s-これは最も重要な課題です。.mp3]	<b>これは最も重要な課題です。</b> <br> これはもっともじゅうようなかだいです。 <br><br> (最も) <br> This is the most important issue.
これは最も重要な課題です。 <br><br> (最も)	<b>これはもっともじゅうようなかだいです。</b> <br> This is the most important issue. <br> [sound:4c-s-これは最も重要な課題です。.mp3]
This is the most important issue.	<b>これは最も重要な課題です。</b> <br> これはもっともじゅうようなかだいです。 <br><br> (最も) <br> [sound:4c-s-これは最も重要な課題です。.mp3]
[sound:4c-k-最近.mp3]	<b>最近</b> <br> さいきん <br> latest, most recent, nowadays
最近	<b>さいきん</b> <br> latest, most recent, nowadays <br> [sound:4c-k-最近.mp3]
latest, most recent, nowadays	<b>最近</b> <br> さいきん <br> [sound:4c-k-最近.mp3]
[sound:4c-s-最近、新しい趣味を始めました。.mp3]	<b>最近、新しい趣味を始めました。</b> <br> さいきん、あたらしいしゅみをはじめました。 <br><br> (最近) <br> Recently, I started a new hobby.
最近、新しい趣味を始めました。 <br><br> (最近)	<b>さいきん、あたらしいしゅみをはじめました。</b> <br> Recently, I started a new hobby. <br> [sound:4c-s-最近、新しい趣味を始めました。.mp3]
Recently, I started a new hobby.	<b>最近、新しい趣味を始めました。</b> <br> さいきん、あたらしいしゅみをはじめました。 <br><br> (最近) <br> [sound:4c-s-最近、新しい趣味を始めました。.mp3]
[sound:4c-k-最後.mp3]	<b>最後</b> <br> さいご <br> last, end, conclusion; (after -tara form or -ta form followed by "ga") no sooner than, right after (often having negative consequences); one's final moments
最後	<b>さいご</b> <br> last, end, conclusion; (after -tara form or -ta form followed by "ga") no sooner than, right after (often having negative consequences); one's final moments <br> [sound:4c-k-最後.mp3]
last, end, conclusion; (after -tara form or -ta form followed by "ga") no sooner than, right after (often having negative consequences); one's final moments	<b>最後</b> <br> さいご <br> [sound:4c-k-最後.mp3]
[sound:4c-s-最後まで諦めないことが大切です。.mp3]	<b>最後まで諦めないことが大切です。</b> <br> さいごまであきらめないことがたいせつです。 <br><br> (最後) <br> It's important to never give up until the end.
最後まで諦めないことが大切です。 <br><br> (最後)	<b>さいごまであきらめないことがたいせつです。</b> <br> It's important to never give up until the end. <br> [sound:4c-s-最後まで諦めないことが大切です。.mp3]
It's important to never give up until the end.	<b>最後まで諦めないことが大切です。</b> <br> さいごまであきらめないことがたいせつです。 <br><br> (最後) <br> [sound:4c-s-最後まで諦めないことが大切です。.mp3]
[sound:4c-k-最高.mp3]	<b>最高</b> <br> さいこう <br> highest, supreme, the most
最高	<b>さいこう</b> <br> highest, supreme, the most <br> [sound:4c-k-最高.mp3]
highest, supreme, the most	<b>最高</b> <br> さいこう <br> [sound:4c-k-最高.mp3]
[sound:4c-s-これは最高の経験でした。.mp3]	<b>これは最高の経験でした。</b> <br> これはさいこうのけいけんでした。 <br><br> (最高) <br> This was the best experience.
これは最高の経験でした。 <br><br> (最高)	<b>これはさいこうのけいけんでした。</b> <br> This was the best experience. <br> [sound:4c-s-これは最高の経験でした。.mp3]
This was the best experience.	<b>これは最高の経験でした。</b> <br> これはさいこうのけいけんでした。 <br><br> (最高) <br> [sound:4c-s-これは最高の経験でした。.mp3]
[sound:4c-k-言わば.mp3]	<b>言わば</b> <br> いわば <br> so to speak, so to call it, as it were
言わば	<b>いわば</b> <br> so to speak, so to call it, as it were <br> [sound:4c-k-言わば.mp3]
so to speak, so to call it, as it were	<b>言わば</b> <br> いわば <br> [sound:4c-k-言わば.mp3]
[sound:4c-s-彼は言わば、リーダーのような存在です。.mp3]	<b>彼は言わば、リーダーのような存在です。</b> <br> かれはいわば、リーダーのようなそんざいです。 <br><br> (言わば) <br> He is, so to speak, like a leader.
彼は言わば、リーダーのような存在です。 <br><br> (言わば)	<b>かれはいわば、リーダーのようなそんざいです。</b> <br> He is, so to speak, like a leader. <br> [sound:4c-s-彼は言わば、リーダーのような存在です。.mp3]
He is, so to speak, like a leader.	<b>彼は言わば、リーダーのような存在です。</b> <br> かれはいわば、リーダーのようなそんざいです。 <br><br> (言わば) <br> [sound:4c-s-彼は言わば、リーダーのような存在です。.mp3]
[sound:4c-k-言う.mp3]	<b>言う</b> <br> いう, ゆう <br> to say; to call (i.e. to give a name)
言う	<b>いう, ゆう</b> <br> to say; to call (i.e. to give a name) <br> [sound:4c-k-言う.mp3]
to say; to call (i.e. to give a name)	<b>言う</b> <br> いう, ゆう <br> [sound:4c-k-言う.mp3]
[sound:4c-s-彼は正直に言うタイプです。.mp3]	<b>彼は正直に言うタイプです。</b> <br> かれはしょうじきにいうタイプです。 <br><br> (言う) <br> He is the type to speak honestly.
彼は正直に言うタイプです。 <br><br> (言う)	<b>かれはしょうじきにいうタイプです。</b> <br> He is the type to speak honestly. <br> [sound:4c-s-彼は正直に言うタイプです。.mp3]
He is the type to speak honestly.	<b>彼は正直に言うタイプです。</b> <br> かれはしょうじきにいうタイプです。 <br><br> (言う) <br> [sound:4c-s-彼は正直に言うタイプです。.mp3]
[sound:4c-k-言.mp3]	<b>言</b> <br> げん, こと <br> word, remark, statement
言	<b>げん, こと</b> <br> word, remark, statement <br> [sound:4c-k-言.mp3]
word, remark, statement	<b>言</b> <br> げん, こと <br> [sound:4c-k-言.mp3]
[sound:4c-s-彼の言葉はとても感動的でした。.mp3]	<b>彼の言葉はとても感動的でした。</b> <br> かれのことばはとてもかんどうてきでした。 <br><br> (言) <br> His words were very moving.
彼の言葉はとても感動的でした。 <br><br> (言)	<b>かれのことばはとてもかんどうてきでした。</b> <br> His words were very moving. <br> [sound:4c-s-彼の言葉はとても感動的でした。.mp3]
His words were very moving.	<b>彼の言葉はとても感動的でした。</b> <br> かれのことばはとてもかんどうてきでした。 <br><br> (言) <br> [sound:4c-s-彼の言葉はとても感動的でした。.mp3]
[sound:4c-k-言葉.mp3]	<b>言葉</b> <br> ことば, けとば <br> language, dialect; word, words, phrase, term, expression, remark; speech, (manner of) speaking
言葉	<b>ことば, けとば</b> <br> language, dialect; word, words, phrase, term, expression, remark; speech, (manner of) speaking <br> [sound:4c-k-言葉.mp3]
