[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:k-2297_事務次官.mp3]	permanent vice-president, undersecretary, vice-minister<br> <b>事務次官</b> <br> (じむじかん)
(<b>発言</b>) 彼の発言は多くの議論を巻き起こしました。	[sound:s-2297_彼の発言は多くの議論を巻き起こしました。.mp3] <br> かれのはつげんはおおくのぎろんをまきおこしました。 <br> His statement sparked much debate.
[sound:s-2287_今月の十五日に会議があります。.mp3]	(<b>十五</b>) 今月の十五日に会議があります。<br> こんげつのじゅうごにちにかいぎがあります。 <br>There is a meeting on the fifteenth of this month.	
官房	[sound:k-2298_官房.mp3]<br>かんぼう <br> government secretariat
government secretariat	<b>官房<b> <br> かんぼう <br>[sound:k-2298_官房.mp3]
[sound:k-2298_官房.mp3]	government secretariat<br> <b>官房</b> <br> (かんぼう)
(<b>発行</b>) その新聞社は毎日新聞を発行しています。	[sound:s-2298_その新聞社は毎日新聞を発行しています。.mp3] <br> そのしんぶんしゃはまいにちしんぶんをはっこうしています。 <br> The newspaper company publishes a daily newspaper.
[sound:s-2288_オリンピックは五輪から成り立っています。.mp3]	(<b>五輪</b>) オリンピックは五輪から成り立っています。<br> おりんぴっくはごりんからなりたっています。 <br>The Olympics consist of five rings.	
国務長官	[sound:k-2299_国務長官.mp3]<br>こくむちょうかん <br> Secretary of State
Secretary of State	<b>国務長官<b> <br> こくむちょうかん <br>[sound:k-2299_国務長官.mp3]
[sound:k-2299_国務長官.mp3]	Secretary of State<br> <b>国務長官</b> <br> (こくむちょうかん)
(<b>発展</b>) 科学技術の発展は人類の生活を変えました。	[sound:s-2299_科学技術の発展は人類の生活を変えました。.mp3] <br> かがくぎじゅつのはってんはじんるいのせいかつをかえました。 <br> The development of science and technology has changed human life.
[sound:s-2289_彼の誕生日は五十歳になります。.mp3]	(<b>五十</b>) 彼の誕生日は五十歳になります。<br> かれのたんじょうびはごじゅっさいになります。 <br>He will turn fifty on his birthday.	
増加	[sound:k-2300_増加.mp3]<br>ぞうか <br> increase, increment, addition
increase, increment, addition	<b>増加<b> <br> ぞうか <br>[sound:k-2300_増加.mp3]
[sound:k-2300_増加.mp3]	increase, increment, addition<br> <b>増加</b> <br> (ぞうか)
(<b>発表</b>) 彼の発表は会議で称賛されました。	[sound:s-2300_彼の発表は会議で称賛されました。.mp3] <br> かれのはっぴょうはかいぎでしょうさんされました。 <br> His presentation was praised at the meeting.
[sound:s-2290_この箱には五つのリンゴが入っています。.mp3]	(<b>五つ</b>) この箱には五つのリンゴが入っています。<br> このはこにはいつつのりんごがはいっています。 <br>There are five apples in this box.	
増税	[sound:k-2301_増税.mp3]<br>ぞうぜい <br> tax increase
tax increase	<b>増税<b> <br> ぞうぜい <br>[sound:k-2301_増税.mp3]
[sound:k-2301_増税.mp3]	tax increase<br> <b>増税</b> <br> (ぞうぜい)
(<b>反発</b>) 彼の提案には多くの反発がありました。	[sound:s-2301_彼の提案には多くの反発がありました。.mp3] <br> かれのていあんにはおおくのはんぱつがありました。 <br> There was a lot of resistance to his proposal.
[sound:s-2291_彼の計画には五分ほどで到着する予定です。.mp3]	(<b>五分</b>) 彼の計画には五分ほどで到着する予定です。<br> かれのけいかくにはごぶんほどでとうちゃくするよていです。 <br>He is expected to arrive in about five minutes according to his plan.	
増殖	[sound:k-2302_増殖.mp3]<br>ぞうしょく <br> increase, multiplication, propagation
increase, multiplication, propagation	<b>増殖<b> <br> ぞうしょく <br>[sound:k-2302_増殖.mp3]
[sound:k-2302_増殖.mp3]	increase, multiplication, propagation<br> <b>増殖</b> <br> (ぞうしょく)
(<b>活発</b>) 彼は学校でとても活発です。	[sound:s-2302_彼は学校でとても活発です。.mp3] <br> かれはがっこうでとてもかっぱつです。 <br> He is very active at school.
[sound:s-2292_五十三次の旅は彼にとって忘れられないものだった。.mp3]	(<b>五十三次</b>) 五十三次の旅は彼にとって忘れられないものだった。<br> ごじゅうさんじのたびはかれにとってわすれられないものだった。 <br>The fifty-three trips were unforgettable for him.	
急増	[sound:k-2303_急増.mp3]<br>きゅうぞう <br> explosion, proliferation, surge
explosion, proliferation, surge	<b>急増<b> <br> きゅうぞう <br>[sound:k-2303_急増.mp3]
[sound:k-2303_急増.mp3]	explosion, proliferation, surge<br> <b>急増</b> <br> (きゅうぞう)
(<b>原発</b>) 原発事故の影響は深刻でした。	[sound:s-2303_原発事故の影響は深刻でした。.mp3] <br> げんぱつじこのえいきょうはしんこくでした。 <br> The effects of the nuclear accident were serious.
[sound:s-2293_五感を使ってこの世界を感じることができます。.mp3]	(<b>五感</b>) 五感を使ってこの世界を感じることができます。<br> ごかんをつかってこのせかいをかんじることができます。 <br>You can feel the world using your five senses.	
増大	[sound:k-2304_増大.mp3]<br>ぞうだい <br> enlargement, increase
enlargement, increase	<b>増大<b> <br> ぞうだい <br>[sound:k-2304_増大.mp3]
[sound:k-2304_増大.mp3]	enlargement, increase<br> <b>増大</b> <br> (ぞうだい)
(<b>先発</b>) 彼は今季の先発ピッチャーです。	[sound:s-2304_彼は今季の先発ピッチャーです。.mp3] <br> かれはこんきのせんぱつぴっちゃーです。 <br> He is the starting pitcher for this season.
[sound:s-2294_日本語の五十音はひらがなとカタカナで表されます。.mp3]	(<b>五十音</b>) 日本語の五十音はひらがなとカタカナで表されます。<br> にほんごのごじゅうおんはひらがなとカタカナであらわされます。 <br>The Japanese syllabary is represented by Hiragana and Katakana.	
増強	[sound:k-2305_増強.mp3]<br>ぞうきょう <br> augment, reinforce, increase
augment, reinforce, increase	<b>増強<b> <br> ぞうきょう <br>[sound:k-2305_増強.mp3]
[sound:k-2305_増強.mp3]	augment, reinforce, increase<br> <b>増強</b> <br> (ぞうきょう)
(<b>間</b>) 二人の間には深い絆がある。	[sound:s-2305_二人の間には深い絆がある。.mp3] <br> ふたりのあいだにはふかいきずながある。 <br> There is a deep bond between the two people.
[sound:s-2295_彼の発言には重要な意味があります。.mp3]	(<b>発</b>) 彼の発言には重要な意味があります。<br> かれのはつげんにはじゅうようないみがあります。 <br>His statement carries significant meaning.	
増し	[sound:k-2306_増し.mp3]<br>まし, マシ <br> better, less objectionable, preferable; more, increase, extra; increase, growth
better, less objectionable, preferable; more, increase, extra; increase, growth	<b>増し<b> <br> まし, マシ <br>[sound:k-2306_増し.mp3]
[sound:k-2306_増し.mp3]	better, less objectionable, preferable; more, increase, extra; increase, growth<br> <b>増し</b> <br> (まし, マシ)
(<b>間もなく</b>) 飛行機が離陸する間もなく、携帯電話をオフにしてください。	[sound:s-2306_飛行機が離陸する間もなく、携帯電話をオフにしてください。.mp3] <br> ひこうきがりりくするまもなく、けいたいでんわをオフにしてください。 <br> Please turn off your mobile phones shortly before takeoff.
[sound:s-2296_その地域の開発に多くの資金が投入されました。.mp3]	(<b>開発</b>) その地域の開発に多くの資金が投入されました。<br> そのちいきのかいはつにおおくのしきんがとうにゅうされました。 <br>A lot of funds have been invested in the development of that area.	
増収	[sound:k-2307_増収.mp3]<br>ぞうしゅう <br> increase in yield
increase in yield	<b>増収<b> <br> ぞうしゅう <br>[sound:k-2307_増収.mp3]
[sound:k-2307_増収.mp3]	increase in yield<br> <b>増収</b> <br> (ぞうしゅう)
(<b>期間</b>) プロジェクトの期間は一年です。	[sound:s-2307_プロジェクトの期間は一年です。.mp3] <br> プロジェクトのきかんはいちねんです。 <br> The project duration is one year.
[sound:s-2297_彼の発言は多くの議論を巻き起こしました。.mp3]	(<b>発言</b>) 彼の発言は多くの議論を巻き起こしました。<br> かれのはつげんはおおくのぎろんをまきおこしました。 <br>His statement sparked much debate.	
増益	[sound:k-2308_増益.mp3]<br>ぞうえき <br> increased (profit)
increased (profit)	<b>増益<b> <br> ぞうえき <br>[sound:k-2308_増益.mp3]
[sound:k-2308_増益.mp3]	increased<br> <b>profit) (増益</b> <br> (ぞうえき)
(<b>時間</b>) この仕事には多くの時間が必要です。	[sound:s-2308_この仕事には多くの時間が必要です。.mp3] <br> このしごとにはおおくのじかんがひつようです。 <br> This job requires a lot of time.
[sound:s-2298_その新聞社は毎日新聞を発行しています。.mp3]	(<b>発行</b>) その新聞社は毎日新聞を発行しています。<br> そのしんぶんしゃはまいにちしんぶんをはっこうしています。 <br>The newspaper company publishes a daily newspaper.	
増額	[sound:k-2309_増額.mp3]<br>ぞうがく <br> increased amount
increased amount	<b>増額<b> <br> ぞうがく <br>[sound:k-2309_増額.mp3]
[sound:k-2309_増額.mp3]	increased amount<br> <b>増額</b> <br> (ぞうがく)
(<b>人間</b>) 人間は自然と調和しなければなりません。	[sound:s-2309_人間は自然と調和しなければなりません。.mp3] <br> にんげんはしぜんとちょうわしなければなりません。 <br> Humans must harmonize with nature.
[sound:s-2299_科学技術の発展は人類の生活を変えました。.mp3]	(<b>発展</b>) 科学技術の発展は人類の生活を変えました。<br> かがくぎじゅつのはってんはじんるいのせいかつをかえました。 <br>The development of science and technology has changed human life.	
係	[sound:k-2310_係.mp3]<br>かかり <br> official, duty, person in charge
official, duty, person in charge	<b>係<b> <br> かかり <br>[sound:k-2310_係.mp3]
[sound:k-2310_係.mp3]	official, duty, person in charge<br> <b>係</b> <br> (かかり)
(<b>年間</b>) 年間を通して彼は多くの成果を上げました。	[sound:s-2310_年間を通して彼は多くの成果を上げました。.mp3] <br> ねんかんをつうしてかれはおおくのせいかをあげました。 <br> He achieved many successes throughout the year.
[sound:s-2300_彼の発表は会議で称賛されました。.mp3]	(<b>発表</b>) 彼の発表は会議で称賛されました。<br> かれのはっぴょうはかいぎでしょうさんされました。 <br>His presentation was praised at the meeting.	
関係	[sound:k-2311_関係.mp3]<br>かんけい <br> relation, connection
relation, connection	<b>関係<b> <br> かんけい <br>[sound:k-2311_関係.mp3]
[sound:k-2311_関係.mp3]	relation, connection<br> <b>関係</b> <br> (かんけい)
(<b>民間</b>) その企業は民間の投資家から資金を調達しました。	[sound:s-2311_その企業は民間の投資家から資金を調達しました。.mp3] <br> そのきぎょうはみんかんのとうしかからしきんをちょうたつしました。 <br> The company raised funds from private investors.
[sound:s-2301_彼の提案には多くの反発がありました。.mp3]	(<b>反発</b>) 彼の提案には多くの反発がありました。<br> かれのていあんにはおおくのはんぱつがありました。 <br>There was a lot of resistance to his proposal.	
関係者	[sound:k-2312_関係者.mp3]<br>かんけいしゃ <br> authorized people, authorised people, person(s) concerned
authorized people, authorised people, person(s) concerned	<b>関係者<b> <br> かんけいしゃ <br>[sound:k-2312_関係者.mp3]
[sound:k-2312_関係者.mp3]	authorized people, authorised people, person(s) concerned<br> <b>関係者</b> <br> (かんけいしゃ)
(<b>中間</b>) 彼は中間テストで高い成績を取りました。	[sound:s-2312_彼は中間テストで高い成績を取りました。.mp3] <br> かれはちゅうかんテストでたかいせいせきをとりました。 <br> He scored high marks in the midterm test.
[sound:s-2302_彼は学校でとても活発です。.mp3]	(<b>活発</b>) 彼は学校でとても活発です。<br> かれはがっこうでとてもかっぱつです。 <br>He is very active at school.	
