[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
[sound:k-3138_可決.mp3]	approval, adoption<br> <b>e.g. motion, bill), passage (可決</b> <br> (かけつ)
(<b>自助</b>) 困難に直面したら自助が大切です。	[sound:s-3138_困難に直面したら自助が大切です。.mp3] <br> こんなんにちょくめんしたらじじょがたいせつです。 <br> Self-help is important when facing difficulties.
[sound:s-3128_地域社会でのボランティア活動に参加します。.mp3]	(<b>地域社会</b>) 地域社会でのボランティア活動に参加します。<br> ちいきしゃかいでのボランティアかつどうにさんかします。 <br>I participate in volunteer activities in the local community.	
不可分	[sound:k-3139_不可分.mp3]<br>ふかぶん <br> atomic, indivisibility
atomic, indivisibility	<b>不可分<b> <br> ふかぶん <br>[sound:k-3139_不可分.mp3]
[sound:k-3139_不可分.mp3]	atomic, indivisibility<br> <b>不可分</b> <br> (ふかぶん)
(<b>労働</b>) 労働は社会の基盤です。	[sound:s-3139_労働は社会の基盤です。.mp3] <br> ろうどうはしゃかいのきばんです。 <br> Labor is the foundation of society.
[sound:s-3129_困っている人々に援助を提供することが大切です。.mp3]	(<b>援助</b>) 困っている人々に援助を提供することが大切です。<br> こまっているひとびとにえんじょをていきゅうすることがたいせつです。 <br>It is important to provide assistance to those in need.	
役	[sound:k-3140_役.mp3]<br>やく <br> use, service, role, position
use, service, role, position	<b>役<b> <br> やく <br>[sound:k-3140_役.mp3]
[sound:k-3140_役.mp3]	use, service, role, position<br> <b>役</b> <br> (やく)
(<b>労働者</b>) 労働者は労働条件の改善を要求しています。	[sound:s-3140_労働者は労働条件の改善を要求しています。.mp3] <br> ろうどうしゃはろうどうじょうけんのかいぜんをようきゅうしています。 <br> Workers are demanding improvements in labor conditions.
[sound:s-3130_政府は地方のプロジェクトに補助金を提供します。.mp3]	(<b>補助</b>) 政府は地方のプロジェクトに補助金を提供します。<br> せいふはちほうのプロジェクトにほじょきんをていきゅうします。 <br>The government provides subsidies to local projects.	
役割	[sound:k-3141_役割.mp3]<br>やくわり <br> part, assigning (allotment of) parts, role, duties
part, assigning (allotment of) parts, role, duties	<b>役割<b> <br> やくわり <br>[sound:k-3141_役割.mp3]
[sound:k-3141_役割.mp3]	part, assigning<br> <b>allotment of) parts, role, duties (役割</b> <br> (やくわり)
(<b>労組</b>) 労組は労働者の権利を守る役割を果たしています。	[sound:s-3141_労組は労働者の権利を守る役割を果たしています。.mp3] <br> ろうそはろうどうしゃのけんりをまもるやくわりをはたしています。 <br> Labor unions play a role in protecting the rights of workers.
[sound:s-3131_彼女は大学で助教授として働いています。.mp3]	(<b>助教授</b>) 彼女は大学で助教授として働いています。<br> かのじょはだいがくでじょきょうじゅとしてはたらいています。 <br>She works as an associate professor at the university.	
役員	[sound:k-3142_役員.mp3]<br>やくいん <br> officer, official, executive, staff
officer, official, executive, staff	<b>役員<b> <br> やくいん <br>[sound:k-3142_役員.mp3]
[sound:k-3142_役員.mp3]	officer, official, executive, staff<br> <b>役員</b> <br> (やくいん)
(<b>労働省</b>) 労働省は労働に関する政策を策定しています。	[sound:s-3142_労働省は労働に関する政策を策定しています。.mp3] <br> ろうどうしょうはろうどうにかんするせいさくをさくていしています。 <br> The Ministry of Labor formulates policies related to labor.
[sound:s-3132_文化プロジェクトへの助成金が与えられました。.mp3]	(<b>助成</b>) 文化プロジェクトへの助成金が与えられました。<br> ぶんかプロジェクトへのじょせいきんがあたえられました。 <br>Grants were provided for the cultural project.	
取締役	[sound:k-3143_取締役.mp3]<br>とりしまりやく <br> company director, board member
company director, board member	<b>取締役<b> <br> とりしまりやく <br>[sound:k-3143_取締役.mp3]
[sound:k-3143_取締役.mp3]	company director, board member<br> <b>取締役</b> <br> (とりしまりやく)
(<b>労働党</b>) 労働党は労働者の利益を代表しています。	[sound:s-3143_労働党は労働者の利益を代表しています。.mp3] <br> ろうどうとうはろうどうしゃのりえきをだいひょうしています。 <br> The Labor Party represents the interests of workers.
[sound:s-3133_私の助手が手伝ってくれました。.mp3]	(<b>助手</b>) 私の助手が手伝ってくれました。<br> わたしのじょしゅがてつだってくれました。 <br>My assistant helped me.	
懲役	[sound:k-3144_懲役.mp3]<br>ちょうえき <br> penal servitude, imprisonment with hard labor (hard labour)
penal servitude, imprisonment with hard labor (hard labour)	<b>懲役<b> <br> ちょうえき <br>[sound:k-3144_懲役.mp3]
[sound:k-3144_懲役.mp3]	penal servitude, imprisonment with hard labor<br> <b>hard labour) (懲役</b> <br> (ちょうえき)
(<b>苦労</b>) 彼は苦労して成功を手に入れました。	[sound:s-3144_彼は苦労して成功を手に入れました。.mp3] <br> かれはくろうしてせいこうをてにいれました。 <br> He struggled and achieved success.
[sound:s-3134_彼女は彼を助けました。.mp3]	(<b>助け</b>) 彼女は彼を助けました。<br> かのじょはかれをたすけました。 <br>She helped him.	
現役	[sound:k-3145_現役.mp3]<br>げんえき <br> active duty, active service
active duty, active service	<b>現役<b> <br> げんえき <br>[sound:k-3145_現役.mp3]
[sound:k-3145_現役.mp3]	active duty, active service<br> <b>現役</b> <br> (げんえき)
(<b>労使</b>) 労使間の対立が解消されました。	[sound:s-3145_労使間の対立が解消されました。.mp3] <br> ろうしまんのたいりつがかいしょうされました。 <br> The conflict between labor and management has been resolved.
[sound:s-3135_沈んでいる船の救助に向かいます。.mp3]	(<b>救助</b>) 沈んでいる船の救助に向かいます。<br> しずんでいるふねのきゅうじょにむかいます。 <br>We're heading for the rescue of the sinking ship.	
三役	[sound:k-3146_三役.mp3]<br>さんやく <br> three highest ranks (wrestling, unions, etc.)
three highest ranks (wrestling, unions, etc.)	<b>三役<b> <br> さんやく <br>[sound:k-3146_三役.mp3]
[sound:k-3146_三役.mp3]	three highest ranks<br> <b>wrestling, unions, etc.) (三役</b> <br> (さんやく)
(<b>労働組合</b>) 労働組合は労働者の権利を守るために存在します。	[sound:s-3146_労働組合は労働者の権利を守るために存在します。.mp3] <br> ろうどうくみあいはろうどうしゃのけんりをまもるためにそんざいします。 <br> Labor unions exist to protect the rights of workers.
[sound:s-3136_彼は村の助役を務めています。.mp3]	(<b>助役</b>) 彼は村の助役を務めています。<br> かれはむらのじょやくをつとめています。 <br>He serves as the deputy mayor of the village.	
主役	[sound:k-3147_主役.mp3]<br>しゅやく <br> leading part, leading actor (actress)
leading part, leading actor (actress)	<b>主役<b> <br> しゅやく <br>[sound:k-3147_主役.mp3]
[sound:k-3147_主役.mp3]	leading part, leading actor<br> <b>actress) (主役</b> <br> (しゅやく)
(<b>疲労</b>) 長時間の仕事で彼は疲労困憊している。	[sound:s-3147_長時間の仕事で彼は疲労困憊している。.mp3] <br> ちょうじかんのしごとでかれはひろうこんぱいしています。 <br> He is exhausted from long hours of work.
[sound:s-3137_彼からの助言はいつも役に立ちます。.mp3]	(<b>助言</b>) 彼からの助言はいつも役に立ちます。<br> かれからのじょげんはいつもやくにたちます。 <br>His advice is always helpful.	
取締役会	[sound:k-3148_取締役会.mp3]<br>とりしまりやくかい <br> board of directors; board of directors' meeting
board of directors; board of directors' meeting	<b>取締役会<b> <br> とりしまりやくかい <br>[sound:k-3148_取締役会.mp3]
[sound:k-3148_取締役会.mp3]	board of directors; board of directors' meeting<br> <b>取締役会</b> <br> (とりしまりやくかい)
(<b>労連</b>) 労働組合連合会は労働者の利益を代表しています。	[sound:s-3148_労働組合連合会は労働者の利益を代表しています。.mp3] <br> ろうどうくみあいれんごうかいはろうどうしゃのりえきをだいひょうしています。 <br> The Federation of Labor Unions represents the interests of workers.
[sound:s-3138_困難に直面したら自助が大切です。.mp3]	(<b>自助</b>) 困難に直面したら自助が大切です。<br> こんなんにちょくめんしたらじじょがたいせつです。 <br>Self-help is important when facing difficulties.	
役所	[sound:k-3149_役所.mp3]<br>やくしょ <br> government office, public office
government office, public office	<b>役所<b> <br> やくしょ <br>[sound:k-3149_役所.mp3]
[sound:k-3149_役所.mp3]	government office, public office<br> <b>役所</b> <br> (やくしょ)
(<b>例</b>) 彼は良い例を示しました。	[sound:s-3149_彼は良い例を示しました。.mp3] <br> かれはよいれいをしめしました。 <br> He set a good example.
[sound:s-3139_労働は社会の基盤です。.mp3]	(<b>労働</b>) 労働は社会の基盤です。<br> ろうどうはしゃかいのきばんです。 <br>Labor is the foundation of society.	
機構	[sound:k-3150_機構.mp3]<br>きこう <br> mechanism, organization, organisation
mechanism, organization, organisation	<b>機構<b> <br> きこう <br>[sound:k-3150_機構.mp3]
[sound:k-3150_機構.mp3]	mechanism, organization, organisation<br> <b>機構</b> <br> (きこう)
(<b>例えば</b>) 例えば、彼はとても親切です。	[sound:s-3150_例えば、彼はとても親切です。.mp3] <br> たとえば、かれはとてもしんせつです。 <br> For example, he is very kind.
[sound:s-3140_労働者は労働条件の改善を要求しています。.mp3]	(<b>労働者</b>) 労働者は労働条件の改善を要求しています。<br> ろうどうしゃはろうどうじょうけんのかいぜんをようきゅうしています。 <br>Workers are demanding improvements in labor conditions.	
構造	[sound:k-3151_構造.mp3]<br>こうぞう <br> structure, construction
structure, construction	<b>構造<b> <br> こうぞう <br>[sound:k-3151_構造.mp3]
[sound:k-3151_構造.mp3]	structure, construction<br> <b>構造</b> <br> (こうぞう)
(<b>比例</b>) 努力と成功は比例します。	[sound:s-3151_努力と成功は比例します。.mp3] <br> どりょくとせいこうはひれいします。 <br> Effort and success are proportional.
[sound:s-3141_労組は労働者の権利を守る役割を果たしています。.mp3]	(<b>労組</b>) 労組は労働者の権利を守る役割を果たしています。<br> ろうそはろうどうしゃのけんりをまもるやくわりをはたしています。 <br>Labor unions play a role in protecting the rights of workers.	
