[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
(<b>締約</b>) 両国は新たな貿易協定に署名しました。	[sound:s-3705_両国は新たな貿易協定に署名しました。.mp3] <br> りょうこくはあらたなぼうえききょうていにしょめいしました。 <br> The two countries signed a new trade agreement.
[sound:s-3695_一六銀行は新しい口座サービスを開始しました。.mp3]	(<b>一六銀行</b>) 一六銀行は新しい口座サービスを開始しました。<br> いちろくぎんこうはあたらしいこうざサービスをかいしした。 <br>Bank 16 has launched a new account service.	
密輸	[sound:k-3706_密輸.mp3]<br>みつゆ <br> smuggling, contraband trade
smuggling, contraband trade	<b>密輸<b> <br> みつゆ <br>[sound:k-3706_密輸.mp3]
[sound:k-3706_密輸.mp3]	smuggling, contraband trade<br> <b>密輸</b> <br> (みつゆ)
(<b>解約</b>) 契約を解約するには手続きが必要です。	[sound:s-3706_契約を解約するには手続きが必要です。.mp3] <br> けいやくをかいやくするにはてつづきがひつようです。 <br> Cancelling a contract requires a procedure.
[sound:s-3696_彼は一六勝負で勝ちました。.mp3]	(<b>一六勝負</b>) 彼は一六勝負で勝ちました。<br> かれはいちろくしょうぶでかちました。 <br>He won in a sixteen-game match.	
輸出入	[sound:k-3707_輸出入.mp3]<br>ゆしゅつにゅう <br> export and import
export and import	<b>輸出入<b> <br> ゆしゅつにゅう <br>[sound:k-3707_輸出入.mp3]
[sound:k-3707_輸出入.mp3]	export and import<br> <b>輸出入</b> <br> (ゆしゅつにゅう)
(<b>主に</b>) 彼は主にアメリカで活動しています。	[sound:s-3707_彼は主にアメリカで活動しています。.mp3] <br> かれはおもにアメリカでかつどうしています。 <br> He mainly operates in America.
[sound:s-3697_契約書にサインしてください。.mp3]	(<b>契約</b>) 契約書にサインしてください。<br> けいやくしょにさいんしてください。 <br>Please sign the contract.	
輸血	[sound:k-3708_輸血.mp3]<br>ゆけつ <br> blood transfusion
blood transfusion	<b>輸血<b> <br> ゆけつ <br>[sound:k-3708_輸血.mp3]
[sound:k-3708_輸血.mp3]	blood transfusion<br> <b>輸血</b> <br> (ゆけつ)
(<b>喪主</b>) 彼は喪主として葬儀を取り仕切りました。	[sound:s-3708_彼は喪主として葬儀を取り仕切りました。.mp3] <br> かれはもしゅとしてそうぎをとりしきりました。 <br> He officiated the funeral as the chief mourner.
[sound:s-3698_その二国間の条約が締結されました。.mp3]	(<b>条約</b>) その二国間の条約が締結されました。<br> そのにこっかんのじょうやくがていけつされました。 <br>The treaty between the two countries was signed.	
空輸	[sound:k-3709_空輸.mp3]<br>くうゆ <br> air transport
air transport	<b>空輸<b> <br> くうゆ <br>[sound:k-3709_空輸.mp3]
[sound:k-3709_空輸.mp3]	air transport<br> <b>空輸</b> <br> (くうゆ)
(<b>民主</b>) この国は民主主義を尊重しています。	[sound:s-3709_この国は民主主義を尊重しています。.mp3] <br> このくにはみんしゅしゅぎをそんちょうしています。 <br> This country respects democracy.
[sound:s-3699_彼は選挙で公約を宣言しました。.mp3]	(<b>公約</b>) 彼は選挙で公約を宣言しました。<br> かれはせんきょでこうやくをせんげんしました。 <br>He declared his election promises during the campaign.	
訪ねる	[sound:k-3710_訪ねる.mp3]<br>たずねる <br> to visit
to visit	<b>訪ねる<b> <br> たずねる <br>[sound:k-3710_訪ねる.mp3]
[sound:k-3710_訪ねる.mp3]	to visit<br> <b>訪ねる</b> <br> (たずねる)
(<b>主義</b>) 彼は自分の主義に従って行動します。	[sound:s-3710_彼は自分の主義に従って行動します。.mp3] <br> かれはじぶんのしゅぎにしたがってこうどうします。 <br> He acts according to his own principles.
[sound:s-3700_約束を守ってください。.mp3]	(<b>約束</b>) 約束を守ってください。<br> やくそくをまもってください。 <br>Please keep your promise.	
訪問	[sound:k-3711_訪問.mp3]<br>ほうもん <br> call, visit
call, visit	<b>訪問<b> <br> ほうもん <br>[sound:k-3711_訪問.mp3]
[sound:k-3711_訪問.mp3]	call, visit<br> <b>訪問</b> <br> (ほうもん)
(<b>主催</b>) この大会は地元の企業が主催しています。	[sound:s-3711_この大会は地元の企業が主催しています。.mp3] <br> このたいかいはじもとのきぎょうがしゅさいしています。 <br> This event is organized by local companies.
[sound:s-3701_レストランで予約を取りました。.mp3]	(<b>予約</b>) レストランで予約を取りました。<br> れすとらんでよやくをとりました。 <br>I made a reservation at the restaurant.	
訪日	[sound:k-3712_訪日.mp3]<br>ほうにち <br> visit to Japan
visit to Japan	<b>訪日<b> <br> ほうにち <br>[sound:k-3712_訪日.mp3]
[sound:k-3712_訪日.mp3]	visit to Japan<br> <b>訪日</b> <br> (ほうにち)
(<b>主席</b>) 彼は会社の主席です。	[sound:s-3712_彼は会社の主席です。.mp3] <br> かれはかいしゃのしゅせきです。 <br> He is the president of the company.
[sound:s-3702_彼は時間の制約に苦しんでいます。.mp3]	(<b>制約</b>) 彼は時間の制約に苦しんでいます。<br> かれはじかんのせいやくにくるしんでいます。 <br>He's struggling with time constraints.	
訪中	[sound:k-3713_訪中.mp3]<br>ほうちゅう <br> visit to China
visit to China	<b>訪中<b> <br> ほうちゅう <br>[sound:k-3713_訪中.mp3]
[sound:k-3713_訪中.mp3]	visit to China<br> <b>訪中</b> <br> (ほうちゅう)
(<b>主張</b>) 彼は自分の意見をはっきりと主張します。	[sound:s-3713_彼は自分の意見をはっきりと主張します。.mp3] <br> かれはじぶんのいけんをはっきりとしゅちょうします。 <br> He firmly asserts his opinion.
[sound:s-3703_このサイトの規約を確認してください。.mp3]	(<b>規約</b>) このサイトの規約を確認してください。<br> このさいとのきやくをかくにんしてください。 <br>Please review the terms and conditions of this site.	
訪米	[sound:k-3714_訪米.mp3]<br>ほうべい <br> visit to America
visit to America	<b>訪米<b> <br> ほうべい <br>[sound:k-3714_訪米.mp3]
[sound:k-3714_訪米.mp3]	visit to America<br> <b>訪米</b> <br> (ほうべい)
(<b>主婦</b>) 彼女は専業主婦です。	[sound:s-3714_彼女は専業主婦です。.mp3] <br> かのじょはせんぎょうしゅふです。 <br> She is a full-time homemaker.
[sound:s-3704_彼らは婚約を発表しました。.mp3]	(<b>婚約</b>) 彼らは婚約を発表しました。<br> かれらはこんやくをはっぴょうしました。 <br>They announced their engagement.	
歴訪	[sound:k-3715_歴訪.mp3]<br>れきほう <br> round of calls, tour of visitation
round of calls, tour of visitation	<b>歴訪<b> <br> れきほう <br>[sound:k-3715_歴訪.mp3]
[sound:k-3715_歴訪.mp3]	round of calls, tour of visitation<br> <b>歴訪</b> <br> (れきほう)
(<b>主要</b>) このレポートの主要なポイントを教えてください。	[sound:s-3715_このレポートの主要なポイントを教えてください。.mp3] <br> このれぽーとのしゅようなぽいんとをおしえてください。 <br> Please tell me the main points of this report.
[sound:s-3705_両国は新たな貿易協定に署名しました。.mp3]	(<b>締約</b>) 両国は新たな貿易協定に署名しました。<br> りょうこくはあらたなぼうえききょうていにしょめいしました。 <br>The two countries signed a new trade agreement.	
訪れ	[sound:k-3716_訪れ.mp3]<br>おとずれ <br> visit, call, advent, arrival
visit, call, advent, arrival	<b>訪れ<b> <br> おとずれ <br>[sound:k-3716_訪れ.mp3]
[sound:k-3716_訪れ.mp3]	visit, call, advent, arrival<br> <b>訪れ</b> <br> (おとずれ)
(<b>朝鮮民主主義人民共和国</b>) 朝鮮民主主義人民共和国の首都は平壌です。	[sound:s-3716_朝鮮民主主義人民共和国の首都は平壌です。.mp3] <br> ちょうせんみんしゅしゅぎじんみんきょうわこくのしゅとはへいじょうです。 <br> The capital of the Democratic People's Republic of Korea is Pyongyang.
[sound:s-3706_契約を解約するには手続きが必要です。.mp3]	(<b>解約</b>) 契約を解約するには手続きが必要です。<br> けいやくをかいやくするにはてつづきがひつようです。 <br>Cancelling a contract requires a procedure.	
戸別訪問	[sound:k-3717_戸別訪問.mp3]<br>こべつほうもん <br> door-to-door visit, door-to-door canvassing, door-to-door canvasing
door-to-door visit, door-to-door canvassing, door-to-door canvasing	<b>戸別訪問<b> <br> こべつほうもん <br>[sound:k-3717_戸別訪問.mp3]
[sound:k-3717_戸別訪問.mp3]	door-to-door visit, door-to-door canvassing, door-to-door canvasing<br> <b>戸別訪問</b> <br> (こべつほうもん)
(<b>課題</b>) その課題に取り組む方法を考えましょう。	[sound:s-3717_その課題に取り組む方法を考えましょう。.mp3] <br> そのかだいにとりくむほうほうをかんがえましょう。 <br> Let's think about how to tackle this issue.
[sound:s-3707_彼は主にアメリカで活動しています。.mp3]	(<b>主に</b>) 彼は主にアメリカで活動しています。<br> かれはおもにアメリカでかつどうしています。 <br>He mainly operates in America.	
訪欧	[sound:k-3718_訪欧.mp3]<br>ほうおう <br> visit to Europe
visit to Europe	<b>訪欧<b> <br> ほうおう <br>[sound:k-3718_訪欧.mp3]
[sound:k-3718_訪欧.mp3]	visit to Europe<br> <b>訪欧</b> <br> (ほうおう)
(<b>問題</b>) その問題について討論しましょう。	[sound:s-3718_その問題について討論しましょう。.mp3] <br> そのもんだいについてとうろんしましょう。 <br> Let's discuss the problem.
[sound:s-3708_彼は喪主として葬儀を取り仕切りました。.mp3]	(<b>喪主</b>) 彼は喪主として葬儀を取り仕切りました。<br> かれはもしゅとしてそうぎをとりしきりました。 <br>He officiated the funeral as the chief mourner.	
来訪	[sound:k-3719_来訪.mp3]<br>らいほう <br> visit, call
visit, call	<b>来訪<b> <br> らいほう <br>[sound:k-3719_来訪.mp3]
[sound:k-3719_来訪.mp3]	visit, call<br> <b>来訪</b> <br> (らいほう)
(<b>話題</b>) 彼女は常に最新の話題に詳しいです。	[sound:s-3719_彼女は常に最新の話題に詳しいです。.mp3] <br> かのじょはつねにさいしんのわだいにくわしいです。 <br> She is always well-informed about the latest topics.
[sound:s-3709_この国は民主主義を尊重しています。.mp3]	(<b>民主</b>) この国は民主主義を尊重しています。<br> このくにはみんしゅしゅぎをそんちょうしています。 <br>This country respects democracy.	
楽しみ	[sound:k-3720_楽しみ.mp3]<br>たのしみ <br> enjoyment, pleasure, diversion, amusement, hobby; anticipation, looking forward to
enjoyment, pleasure, diversion, amusement, hobby; anticipation, looking forward to	<b>楽しみ<b> <br> たのしみ <br>[sound:k-3720_楽しみ.mp3]
[sound:k-3720_楽しみ.mp3]	enjoyment, pleasure, diversion, amusement, hobby; anticipation, looking forward to<br> <b>楽しみ</b> <br> (たのしみ)
(<b>題</b>) その題は難しすぎます。	[sound:s-3720_その題は難しすぎます。.mp3] <br> そのだいはむずかしすぎます。 <br> That topic is too difficult.
[sound:s-3710_彼は自分の主義に従って行動します。.mp3]	(<b>主義</b>) 彼は自分の主義に従って行動します。<br> かれはじぶんのしゅぎにしたがってこうどうします。 <br>He acts according to his own principles.	
音楽	[sound:k-3721_音楽.mp3]<br>おんがく <br> music, musical movement
music, musical movement	<b>音楽<b> <br> おんがく <br>[sound:k-3721_音楽.mp3]
[sound:k-3721_音楽.mp3]	music, musical movement<br> <b>音楽</b> <br> (おんがく)
(<b>問題点</b>) その計画の問題点を洗い出しましょう。	[sound:s-3721_その計画の問題点を洗い出しましょう。.mp3] <br> そのけいかくのもんだいてんをあらいだしましょう。 <br> Let's identify the issues with that plan.
[sound:s-3711_この大会は地元の企業が主催しています。.mp3]	(<b>主催</b>) この大会は地元の企業が主催しています。<br> このたいかいはじもとのきぎょうがしゅさいしています。 <br>This event is organized by local companies.	
