[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
<b>直感</b> <br> 彼女は直感に従いました。	[sound:s-0322_彼女は直感に従いました。.mp3] <br> かのじょはちょっかんにしたがいました。 <br>She followed her intuition.
[sound:s-0322_彼女は直感に従いました。.mp3]	<b>直感</b> <br> 彼女は直感に従いました。<br> かのじょはちょっかんにしたがいました <br>She followed her intuition.
時間	[sound:k-0323_時間.mp3]<br>じかん <br> time; hours
time; hours	<b>時間<b> <br> じかん <br>[sound:k-0323_時間.mp3]
[sound:k-0323_時間.mp3]	time; hours<br> <b>時間</b> <br> (じかん)
<b>直面</b> <br> 彼は多くの困難に直面しています。	[sound:s-0323_彼は多くの困難に直面しています。.mp3] <br> かれはおおくのこんなんにちょくめんしています。 <br>He is facing many difficulties.
[sound:s-0323_彼は多くの困難に直面しています。.mp3]	<b>直面</b> <br> 彼は多くの困難に直面しています。<br> かれはおおくのこんなんにちょくめんしています <br>He is facing many difficulties.
人間	[sound:k-0324_人間.mp3]<br>にんげん <br> human being, man, person; character (of a person)
human being, man, person; character (of a person)	<b>人間<b> <br> にんげん <br>[sound:k-0324_人間.mp3]
[sound:k-0324_人間.mp3]	human being, man, person; character<br> <b>of a person) (人間</b> <br> (にんげん)
<b>直接</b> <br> 彼と直接話した方がいいです。	[sound:s-0324_彼と直接話した方がいいです。.mp3] <br> かれとちょくせつはなしたほうがいいです。 <br>It's better to talk to him directly.
[sound:s-0324_彼と直接話した方がいいです。.mp3]	<b>直接</b> <br> 彼と直接話した方がいいです。<br> かれとちょくせつはなしたほうがいいです <br>It's better to talk to him directly.
年間	[sound:k-0325_年間.mp3]<br>ねんかん <br> year (period of)
year (period of)	<b>年間<b> <br> ねんかん <br>[sound:k-0325_年間.mp3]
[sound:k-0325_年間.mp3]	year<br> <b>period of) (年間</b> <br> (ねんかん)
<b>直接的</b> <br> 彼は直接的なアプローチを好みます。	[sound:s-0325_彼は直接的なアプローチを好みます。.mp3] <br> かれはちょくせつてきなあぷろーちをこのみます。 <br>He prefers a direct approach.
[sound:s-0325_彼は直接的なアプローチを好みます。.mp3]	<b>直接的</b> <br> 彼は直接的なアプローチを好みます。<br> かれはちょくせつてきなあぷろーちをこのみます <br>He prefers a direct approach.
民間	[sound:k-0326_民間.mp3]<br>みんかん <br> private, civilian, civil, popular, folk, unofficial
private, civilian, civil, popular, folk, unofficial	<b>民間<b> <br> みんかん <br>[sound:k-0326_民間.mp3]
[sound:k-0326_民間.mp3]	private, civilian, civil, popular, folk, unofficial<br> <b>民間</b> <br> (みんかん)
<b>直径</b> <br> その円の直径を計算してください。	[sound:s-0326_その円の直径を計算してください。.mp3] <br> そのえんのちょっけいをけいさんしてください。 <br>Please calculate the diameter of the circle.
[sound:s-0326_その円の直径を計算してください。.mp3]	<b>直径</b> <br> その円の直径を計算してください。<br> そのえんのちょっけいをけいさんしてください <br>Please calculate the diameter of the circle.
中間	[sound:k-0327_中間.mp3]<br>ちゅうかん <br> middle, midway, interim
middle, midway, interim	<b>中間<b> <br> ちゅうかん <br>[sound:k-0327_中間.mp3]
[sound:k-0327_中間.mp3]	middle, midway, interim<br> <b>中間</b> <br> (ちゅうかん)
<b>直角</b> <br> この角度は直角です。	[sound:s-0327_この角度は直角です。.mp3] <br> このかくどはちょっかくです。 <br>This angle is a right angle.
[sound:s-0327_この角度は直角です。.mp3]	<b>直角</b> <br> この角度は直角です。<br> このかくどはちょっかくです <br>This angle is a right angle.
仲間	[sound:k-0328_仲間.mp3]<br>なかま <br> company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner
company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner	<b>仲間<b> <br> なかま <br>[sound:k-0328_仲間.mp3]
[sound:k-0328_仲間.mp3]	company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner<br> <b>仲間</b> <br> (なかま)
<b>直行</b> <br> 列車は直行便です。	[sound:s-0328_列車は直行便です。.mp3] <br> れっしゃはちょっこうびんです。 <br>The train is a direct service.
[sound:s-0328_列車は直行便です。.mp3]	<b>直行</b> <br> 列車は直行便です。<br> れっしゃはちょっこうびんです <br>The train is a direct service.
空間	[sound:k-0329_空間.mp3]<br>くうかん <br> space, room, airspace
space, room, airspace	<b>空間<b> <br> くうかん <br>[sound:k-0329_空間.mp3]
[sound:k-0329_空間.mp3]	space, room, airspace<br> <b>空間</b> <br> (くうかん)
<b>意見</b> <br> 彼女は自分の意見をはっきり述べました。	[sound:s-0329_彼女は自分の意見をはっきり述べました。.mp3] <br> かのじょはじぶんのいけんをはっきりのべました。 <br>She clearly stated her opinion.
[sound:s-0329_彼女は自分の意見をはっきり述べました。.mp3]	<b>意見</b> <br> 彼女は自分の意見をはっきり述べました。<br> かのじょはじぶんのいけんをはっきりのべました <br>She clearly stated her opinion.
対応	[sound:k-0330_対応.mp3]<br>たいおう <br> interaction, correspondence, coping with, dealing with, support
interaction, correspondence, coping with, dealing with, support	<b>対応<b> <br> たいおう <br>[sound:k-0330_対応.mp3]
[sound:k-0330_対応.mp3]	interaction, correspondence, coping with, dealing with, support<br> <b>対応</b> <br> (たいおう)
<b>意志</b> <br> 彼は成功するための強い意志を持っています。	[sound:s-0330_彼は成功するための強い意志を持っています。.mp3] <br> かれはせいこうするためのつよいいしをもっています。 <br>He has a strong will to succeed.
[sound:s-0330_彼は成功するための強い意志を持っています。.mp3]	<b>意志</b> <br> 彼は成功するための強い意志を持っています。<br> かれはせいこうするためのつよいいしをもっています <br>He has a strong will to succeed.
対策	[sound:k-0331_対策.mp3]<br>たいさく <br> counter-plan, counter-measure
counter-plan, counter-measure	<b>対策<b> <br> たいさく <br>[sound:k-0331_対策.mp3]
[sound:k-0331_対策.mp3]	counter-plan, counter-measure<br> <b>対策</b> <br> (たいさく)
<b>意味</b> <br> その言葉の意味を教えてください。	[sound:s-0331_その言葉の意味を教えてください。.mp3] <br> そのことばのいみをおしえてください。 <br>Please tell me the meaning of that word.
[sound:s-0331_その言葉の意味を教えてください。.mp3]	<b>意味</b> <br> その言葉の意味を教えてください。<br> そのことばのいみをおしえてください <br>Please tell me the meaning of that word.
対象	[sound:k-0332_対象.mp3]<br>たいしょう <br> target, object (of worship, study, etc.), subject (of taxation, etc.)
target, object (of worship, study, etc.), subject (of taxation, etc.)	<b>対象<b> <br> たいしょう <br>[sound:k-0332_対象.mp3]
[sound:k-0332_対象.mp3]	target, object<br> <b>of worship, study, etc.), subject (of taxation, etc.) (対象</b> <br> (たいしょう)
<b>意図</b> <br> 彼の発言の意図が理解できません。	[sound:s-0332_彼の発言の意図が理解できません。.mp3] <br> かれのはつげんのいとがりかいできません。 <br>I don't understand the intention behind his statement.
[sound:s-0332_彼の発言の意図が理解できません。.mp3]	<b>意図</b> <br> 彼の発言の意図が理解できません。<br> かれのはつげんのいとがりかいできません <br>I don't understand the intention behind his statement.
反対	[sound:k-0333_反対.mp3]<br>はんたい <br> opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa
opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa	<b>反対<b> <br> はんたい <br>[sound:k-0333_反対.mp3]
[sound:k-0333_反対.mp3]	opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa<br> <b>反対</b> <br> (はんたい)
<b>意義</b> <br> 彼女の行動には深い意義があります。	[sound:s-0333_彼女の行動には深い意義があります。.mp3] <br> かのじょのこうどうにはふかいいぎがあります。 <br>Her actions have deep significance.
[sound:s-0333_彼女の行動には深い意義があります。.mp3]	<b>意義</b> <br> 彼女の行動には深い意義があります。<br> かのじょのこうどうにはふかいいぎがあります <br>Her actions have deep significance.
対立	[sound:k-0334_対立.mp3]<br>たいりつ <br> confrontation, opposition, antagonism
confrontation, opposition, antagonism	<b>対立<b> <br> たいりつ <br>[sound:k-0334_対立.mp3]
[sound:k-0334_対立.mp3]	confrontation, opposition, antagonism<br> <b>対立</b> <br> (たいりつ)
<b>意外</b> <br> 彼女の反応は意外でした。	[sound:s-0334_彼女の反応は意外でした。.mp3] <br> かのじょのはんのうはいがいでした。 <br>Her reaction was unexpected.
[sound:s-0334_彼女の反応は意外でした。.mp3]	<b>意外</b> <br> 彼女の反応は意外でした。<br> かのじょのはんのうはいがいでした <br>Her reaction was unexpected.
対話	[sound:k-0335_対話.mp3]<br>たいわ <br> interactive, interaction, conversation, dialogue
interactive, interaction, conversation, dialogue	<b>対話<b> <br> たいわ <br>[sound:k-0335_対話.mp3]
[sound:k-0335_対話.mp3]	interactive, interaction, conversation, dialogue<br> <b>対話</b> <br> (たいわ)
<b>意欲</b> <br> 彼は仕事に対する意欲があります。	[sound:s-0335_彼は仕事に対する意欲があります。.mp3] <br> かれはしごとにたいするいよくがあります。 <br>He has enthusiasm for his work.
[sound:s-0335_彼は仕事に対する意欲があります。.mp3]	<b>意欲</b> <br> 彼は仕事に対する意欲があります。<br> かれはしごとにたいするいよくがあります <br>He has enthusiasm for his work.
対日	[sound:k-0336_対日.mp3]<br>たいにち <br> with respect to Japan, with Japan
with respect to Japan, with Japan	<b>対日<b> <br> たいにち <br>[sound:k-0336_対日.mp3]
[sound:k-0336_対日.mp3]	with respect to Japan, with Japan<br> <b>対日</b> <br> (たいにち)
<b>意向</b> <br> 彼は昇進の意向を上司に伝えました。	[sound:s-0336_彼は昇進の意向を上司に伝えました。.mp3] <br> かれはしょうしんのいこうをじょうしにつたえました。 <br>He conveyed his intention to his boss for a promotion.
[sound:s-0336_彼は昇進の意向を上司に伝えました。.mp3]	<b>意向</b> <br> 彼は昇進の意向を上司に伝えました。<br> かれはしょうしんのいこうをじょうしにつたえました <br>He conveyed his intention to his boss for a promotion.
国対	[sound:k-0337_国対.mp3]<br>こくたい <br> Committee of the National Diet
Committee of the National Diet	<b>国対<b> <br> こくたい <br>[sound:k-0337_国対.mp3]
[sound:k-0337_国対.mp3]	Committee of the National Diet<br> <b>国対</b> <br> (こくたい)
<b>意志</b> <br> 彼は成功するための強い意志を持っています。	[sound:s-0337_彼は成功するための強い意志を持っています。.mp3] <br> かれはせいこうするためのつよいいしをもっています。 <br>He has a strong will to succeed.
[sound:s-0337_彼は成功するための強い意志を持っています。.mp3]	<b>意志</b> <br> 彼は成功するための強い意志を持っています。<br> かれはせいこうするためのつよいいしをもっています <br>He has a strong will to succeed.
