presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
[sound:s-2571_彼は自分の主張を力説した。.mp3]	<b>力説</b> <br> 彼は自分の主張を力説した。<br> かれはじぶんのしゅちょうをりょくせつした <br>He strongly advocated his own opinion.
果たして	[sound:k-2572_果たして.mp3]<br>はたして <br> as was expected, just as one thought, sure enough, as a result; really? (in questions), ever?
as was expected, just as one thought, sure enough, as a result; really? (in questions), ever?	<b>果たして<b> <br> はたして <br>[sound:k-2572_果たして.mp3]
[sound:k-2572_果たして.mp3]	as was expected, just as one thought, sure enough, as a result; really?<br> <b>in questions), ever? (果たして</b> <br> (はたして)
<b>社説</b> <br> 新聞の社説が注目されている。	[sound:s-2572_新聞の社説が注目されている。.mp3] <br> しんぶんのしゃせつがちゅうもくされている。 <br>The editorial of the newspaper is receiving attention.
[sound:s-2572_新聞の社説が注目されている。.mp3]	<b>社説</b> <br> 新聞の社説が注目されている。<br> しんぶんのしゃせつがちゅうもくされている <br>The editorial of the newspaper is receiving attention.
成果	[sound:k-2573_成果.mp3]<br>せいか <br> results, fruits
results, fruits	<b>成果<b> <br> せいか <br>[sound:k-2573_成果.mp3]
[sound:k-2573_成果.mp3]	results, fruits<br> <b>成果</b> <br> (せいか)
<b>論説</b> <br> その問題に関する論説を書く。	[sound:s-2573_その問題に関する論説を書く。.mp3] <br> そのもんだいにかんするろんせつをかく。 <br>Write an essay on the issue.
[sound:s-2573_その問題に関する論説を書く。.mp3]	<b>論説</b> <br> その問題に関する論説を書く。<br> そのもんだいにかんするろんせつをかく <br>Write an essay on the issue.
効果的	[sound:k-2574_効果的.mp3]<br>こうかてき <br> effective, successful
effective, successful	<b>効果的<b> <br> こうかてき <br>[sound:k-2574_効果的.mp3]
[sound:k-2574_効果的.mp3]	effective, successful<br> <b>効果的</b> <br> (こうかてき)
<b>運転</b> <br> 彼は車の運転が上手です。	[sound:s-2574_彼は車の運転が上手です。.mp3] <br> かれはくるまのうんてんがじょうずです。 <br>He is good at driving a car.
[sound:s-2574_彼は車の運転が上手です。.mp3]	<b>運転</b> <br> 彼は車の運転が上手です。<br> かれはくるまのうんてんがじょうずです <br>He is good at driving a car.
果物	[sound:k-2575_果物.mp3]<br>くだもの, かぶつ <br> fruit
fruit	<b>果物<b> <br> くだもの, かぶつ <br>[sound:k-2575_果物.mp3]
[sound:k-2575_果物.mp3]	fruit<br> <b>果物</b> <br> (くだもの, かぶつ)
<b>転換</b> <br> 会社は新しい市場への転換を図っている。	[sound:s-2575_会社は新しい市場への転換を図っている。.mp3] <br> かいしゃはあたらしいしじょうへのてんかんをはかっている。 <br>The company is attempting to transition to a new market.
[sound:s-2575_会社は新しい市場への転換を図っている。.mp3]	<b>転換</b> <br> 会社は新しい市場への転換を図っている。<br> かいしゃはあたらしいしじょうへのてんかんをはかっている <br>The company is attempting to transition to a new market.
果て	[sound:k-2576_果て.mp3]<br>はて <br> the end, the extremity, the limit(s), the result
the end, the extremity, the limit(s), the result	<b>果て<b> <br> はて <br>[sound:k-2576_果て.mp3]
[sound:k-2576_果て.mp3]	the end, the extremity, the limit(s), the result<br> <b>果て</b> <br> (はて)
<b>逆転</b> <br> チームは試合で逆転勝利を収めた。	[sound:s-2576_チームは試合で逆転勝利を収めた。.mp3] <br> チームはしあいでぎゃくてんしょうりをおさめた。 <br>The team achieved a come-from-behind victory in the game.
[sound:s-2576_チームは試合で逆転勝利を収めた。.mp3]	<b>逆転</b> <br> チームは試合で逆転勝利を収めた。<br> チームはしあいでぎゃくてんしょうりをおさめた <br>The team achieved a come-from-behind victory in the game.
因果	[sound:k-2577_因果.mp3]<br>いんが <br> cause and effect, karma, fate
cause and effect, karma, fate	<b>因果<b> <br> いんが <br>[sound:k-2577_因果.mp3]
[sound:k-2577_因果.mp3]	cause and effect, karma, fate<br> <b>因果</b> <br> (いんが)
<b>移転</b> <br> 本社を新しい場所に移転する。	[sound:s-2577_本社を新しい場所に移転する。.mp3] <br> ほんしゃをあたらしいばしょにいてんする。 <br>Move the headquarters to a new location.
[sound:s-2577_本社を新しい場所に移転する。.mp3]	<b>移転</b> <br> 本社を新しい場所に移転する。<br> ほんしゃをあたらしいばしょにいてんする <br>Move the headquarters to a new location.
果実	[sound:k-2578_果実.mp3]<br>かじつ <br> fruit, nut, berry
fruit, nut, berry	<b>果実<b> <br> かじつ <br>[sound:k-2578_果実.mp3]
[sound:k-2578_果実.mp3]	fruit, nut, berry<br> <b>果実</b> <br> (かじつ)
<b>運転手</b> <br> バスの運転手が交代する。	[sound:s-2578_バスの運転手が交代する。.mp3] <br> バスのうんてんしゅがこうたいする。 <br>The bus driver is changing.
[sound:s-2578_バスの運転手が交代する。.mp3]	<b>運転手</b> <br> バスの運転手が交代する。<br> バスのうんてんしゅがこうたいする <br>The bus driver is changing.
果敢	[sound:k-2579_果敢.mp3]<br>かかん <br> resolute, determined, bold
resolute, determined, bold	<b>果敢<b> <br> かかん <br>[sound:k-2579_果敢.mp3]
[sound:k-2579_果敢.mp3]	resolute, determined, bold<br> <b>果敢</b> <br> (かかん)
<b>自転車</b> <br> 自転車で学校に行く。	[sound:s-2579_自転車で学校に行く。.mp3] <br> じてんしゃでがっこうにいく。 <br>Go to school by bicycle.
[sound:s-2579_自転車で学校に行く。.mp3]	<b>自転車</b> <br> 自転車で学校に行く。<br> じてんしゃでがっこうにいく <br>Go to school by bicycle.
西	[sound:k-2580_西.mp3]<br>にし <br> west
west	<b>西<b> <br> にし <br>[sound:k-2580_西.mp3]
[sound:k-2580_西.mp3]	west<br> <b>西</b> <br> (にし)
<b>回転</b> <br> ファンが回転して空気を循環させる。	[sound:s-2580_ファンが回転して空気を循環させる。.mp3] <br> ファンがかいてんしてくうきをじゅんかんさせる。 <br>The fan rotates to circulate air.
[sound:s-2580_ファンが回転して空気を循環させる。.mp3]	<b>回転</b> <br> ファンが回転して空気を循環させる。<br> ファンがかいてんしてくうきをじゅんかんさせる <br>The fan rotates to circulate air.
関西	[sound:k-2581_関西.mp3]<br>かんさい, かんせい <br> Kansai (south-western half of Japan, including Osaka)
Kansai (south-western half of Japan, including Osaka)	<b>関西<b> <br> かんさい, かんせい <br>[sound:k-2581_関西.mp3]
[sound:k-2581_関西.mp3]	Kansai<br> <b>south-western half of Japan, including Osaka) (関西</b> <br> (かんさい, かんせい)
<b>転じる</b> <br> 彼の興味は経済から政治に転じた。	[sound:s-2581_彼の興味は経済から政治に転じた。.mp3] <br> かれのきょうみはけいざいからせいじにてんじた。 <br>His interest shifted from economics to politics.
[sound:s-2581_彼の興味は経済から政治に転じた。.mp3]	<b>転じる</b> <br> 彼の興味は経済から政治に転じた。<br> かれのきょうみはけいざいからせいじにてんじた <br>His interest shifted from economics to politics.
西側	[sound:k-2582_西側.mp3]<br>にしがわ <br> west side, west bank
west side, west bank	<b>西側<b> <br> にしがわ <br>[sound:k-2582_西側.mp3]
[sound:k-2582_西側.mp3]	west side, west bank<br> <b>西側</b> <br> (にしがわ)
<b>逆転勝ち</b> <br> チームは逆転勝ちで優勝を決めた。	[sound:s-2582_チームは逆転勝ちで優勝を決めた。.mp3] <br> チームはぎゃくてんがちでゆうしょうをきめた。 <br>The team won the championship with a come-from-behind victory.
[sound:s-2582_チームは逆転勝ちで優勝を決めた。.mp3]	<b>逆転勝ち</b> <br> チームは逆転勝ちで優勝を決めた。<br> チームはぎゃくてんがちでゆうしょうをきめた <br>The team won the championship with a come-from-behind victory.
東西	[sound:k-2583_東西.mp3]<br>とうざい <br> East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!
East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!	<b>東西<b> <br> とうざい <br>[sound:k-2583_東西.mp3]
[sound:k-2583_東西.mp3]	East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!<br> <b>東西</b> <br> (とうざい)
<b>転勤</b> <br> 彼は転勤で新しい町に引っ越した。	[sound:s-2583_彼は転勤で新しい町に引っ越した。.mp3] <br> かれはてんきんであたらしいまちにひっこした。 <br>He moved to a new town due to a job transfer.
[sound:s-2583_彼は転勤で新しい町に引っ越した。.mp3]	<b>転勤</b> <br> 彼は転勤で新しい町に引っ越した。<br> かれはてんきんであたらしいまちにひっこした <br>He moved to a new town due to a job transfer.
西欧	[sound:k-2584_西欧.mp3]<br>せいおう <br> Western Europe
Western Europe	<b>西欧<b> <br> せいおう <br>[sound:k-2584_西欧.mp3]
[sound:k-2584_西欧.mp3]	Western Europe<br> <b>西欧</b> <br> (せいおう)
<b>食</b> <br> 朝食をとるのを忘れないでください。	[sound:s-2584_朝食をとるのを忘れないでください。.mp3] <br> ちょうしょくをとるのをわすれないでください。 <br>Don't forget to have breakfast.
[sound:s-2584_朝食をとるのを忘れないでください。.mp3]	<b>食</b> <br> 朝食をとるのを忘れないでください。<br> ちょうしょくをとるのをわすれないでください <br>Don't forget to have breakfast.
大西洋	[sound:k-2585_大西洋.mp3]<br>たいせいよう <br> Atlantic Ocean
Atlantic Ocean	<b>大西洋<b> <br> たいせいよう <br>[sound:k-2585_大西洋.mp3]
[sound:k-2585_大西洋.mp3]	Atlantic Ocean<br> <b>大西洋</b> <br> (たいせいよう)
<b>食事</b> <br> 夕食に何を食べるか決めてください。	[sound:s-2585_夕食に何を食べるか決めてください。.mp3] <br> ゆうしょくになにをたべるかきめてください。 <br>Please decide what to eat for dinner.
[sound:s-2585_夕食に何を食べるか決めてください。.mp3]	<b>食事</b> <br> 夕食に何を食べるか決めてください。<br> ゆうしょくになにをたべるかきめてください <br>Please decide what to eat for dinner.
西部	[sound:k-2586_西部.mp3]<br>せいぶ <br> the west, western part, the West
the west, western part, the West	<b>西部<b> <br> せいぶ <br>[sound:k-2586_西部.mp3]
[sound:k-2586_西部.mp3]	the west, western part, the West<br> <b>西部</b> <br> (せいぶ)
<b>食品</b> <br> 健康的な食品を選ぶことが大切です。	[sound:s-2586_健康的な食品を選ぶことが大切です。.mp3] <br> けんこうてきなしょくひんをえらぶことがたいせつです。 <br>Choosing healthy food is important.
[sound:s-2586_健康的な食品を選ぶことが大切です。.mp3]	<b>食品</b> <br> 健康的な食品を選ぶことが大切です。<br> けんこうてきなしょくひんをえらぶことがたいせつです <br>Choosing healthy food is important.
南西	[sound:k-2587_南西.mp3]<br>なんせい, みなみにし <br> southwest
southwest	<b>南西<b> <br> なんせい, みなみにし <br>[sound:k-2587_南西.mp3]
[sound:k-2587_南西.mp3]	southwest<br> <b>南西</b> <br> (なんせい, みなみにし)
