同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
社会党が政策を提案しました。 <br><br> (社会党)	<b>しゃかいとうがせいさくをていあんしました。</b> <br> The Socialist Party proposed policies. <br> [sound:4c-s-社会党が政策を提案しました。.mp3]
新党が結成されました。 <br><br> (新党)	<b>しんとうがけっせいされました。</b> <br> A new political party was formed. <br> [sound:4c-s-新党が結成されました。.mp3]
地図で場所を確認しました。 <br><br> (地)	<b>ちずでばしょをかくにんしました。</b> <br> I checked the location on the map. <br> [sound:4c-s-地図で場所を確認しました。.mp3]
現地の状況を調査しました。 <br><br> (現地)	<b>げんちのじょうきょうをちょうさしました。</b> <br> I investigated the local situation. <br> [sound:4c-s-現地の状況を調査しました。.mp3]
この地域には美しい自然があります。 <br><br> (地域)	<b>このちいきにはうつくしいしぜんがあります。</b> <br> This region has beautiful nature. <br> [sound:4c-s-この地域には美しい自然があります。.mp3]
地球の環境を守ることが重要です。 <br><br> (地球)	<b>ちきゅうのかんきょうをまもることがじゅうようです。</b> <br> Protecting the Earth's environment is important. <br> [sound:4c-s-地球の環境を守ることが重要です。.mp3]
二社が合併しました。 <br><br> (合)	<b>にしゃががっぺいしました。</b> <br> Two companies merged. <br> [sound:4c-s-二社が合併しました。.mp3]
両国は新しい合意を結びました。 <br><br> (合意)	<b>りょうこくはあたらしいごういをむすびました。</b> <br> Both countries reached a new agreement. <br> [sound:4c-s-両国は新しい合意を結びました。.mp3]
サッカーの試合を観戦しました。 <br><br> (試合)	<b>サッカーのしあいをかんせんしました。</b> <br> I watched a soccer match. <br> [sound:4c-s-サッカーの試合を観戦しました。.mp3]
連合軍が作戦を開始しました。 <br><br> (連合)	<b>れんごうぐんがさくせんをかいししました。</b> <br> The allied forces began their operation. <br> [sound:4c-s-連合軍が作戦を開始しました。.mp3]
市場で新鮮な野菜を買いました。 <br><br> (市場)	<b>しじょうでしんせんなやさいをかいました。</b> <br> I bought fresh vegetables at the market. <br> [sound:4c-s-市場で新鮮な野菜を買いました。.mp3]
市内には多くの観光スポットがあります。 <br><br> (市内)	<b>しないにはおおくのかんこうスポットがあります。</b> <br> There are many tourist spots within the city. <br> [sound:4c-s-市内には多くの観光スポットがあります。.mp3]
市民が清掃活動を行いました。 <br><br> (市民)	<b>しみんがせいそうかつどうをおこないました。</b> <br> Citizens carried out a cleaning campaign. <br> [sound:4c-s-市民が清掃活動を行いました。.mp3]
この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
彼は飲食業に従事しています。 <br><br> (業)	<b>かれはいんしょくぎょうにじゅうじしています。</b> <br> He works in the food service industry. <br> [sound:4c-s-彼は飲食業に従事しています。.mp3]
新しい企業が設立されました。 <br><br> (企業)	<b>あたらしいきぎょうがせつりつされました。</b> <br> A new company was established. <br> [sound:4c-s-新しい企業が設立されました。.mp3]
この業界は成長しています。 <br><br> (業界)	<b>このぎょうかいはせいちょうしています。</b> <br> This industry is growing. <br> [sound:4c-s-この業界は成長しています。.mp3]
業者と契約を結びました。 <br><br> (業者)	<b>ぎょうしゃとけいやくをむすびました。</b> <br> I signed a contract with the vendor. <br> [sound:4c-s-業者と契約を結びました。.mp3]
部屋の内装を変更しました。 <br><br> (内)	<b>へやのないそうをへんこうしました。</b> <br> I changed the room's interior design. <br> [sound:4c-s-部屋の内装を変更しました。.mp3]
国内旅行が人気です。 <br><br> (国内)	<b>こくないりょこうがにんきです。</b> <br> Domestic travel is popular. <br> [sound:4c-s-国内旅行が人気です。.mp3]
市内の交通が混雑しています。 <br><br> (市内)	<b>しないのこうつうがこんざつしています。</b> <br> Traffic within the city is congested. <br> [sound:4c-s-市内の交通が混雑しています。.mp3]
都内には多くの企業があります。 <br><br> (都内)	<b>とないにはおおくのきぎょうがあります。</b> <br> There are many companies in the metropolitan area. <br> [sound:4c-s-都内には多くの企業があります。.mp3]
外相が会談を行いました。 <br><br> (外相)	<b>がいしょうがかいだんをおこないました。</b> <br> The foreign minister held a meeting. <br> [sound:4c-s-外相が会談を行いました。.mp3]
首相が国民に演説しました。 <br><br> (首相)	<b>しゅしょうがこくみんにえんぜつしました。</b> <br> The Prime Minister gave a speech to the citizens. <br> [sound:4c-s-首相が国民に演説しました。.mp3]
相手の意見を尊重しましょう。 <br><br> (相手)	<b>あいてのいけんをそんちょうしましょう。</b> <br> Let's respect the other person's opinion. <br> [sound:4c-s-相手の意見を尊重しましょう。.mp3]
問題について相談しました。 <br><br> (相談)	<b>もんだいについてそうだんしました。</b> <br> I discussed the issue. <br> [sound:4c-s-問題について相談しました。.mp3]
彼は一方的に話し続けました。 <br><br> (一方)	<b>かれはいっぽうてきにはなしつづけました。</b> <br> He kept talking one-sidedly. <br> [sound:4c-s-彼は一方的に話し続けました。.mp3]
それぞれの見方が異なります。 <br><br> (見方)	<b>それぞれのみかたがことなります。</b> <br> Each perspective is different. <br> [sound:4c-s-それぞれの見方が異なります。.mp3]
地方の文化を学びました。 <br><br> (地方)	<b>ちほうのぶんかをまなびました。</b> <br> I learned about local culture. <br> [sound:4c-s-地方の文化を学びました。.mp3]
進む方向を決めました。 <br><br> (方向)	<b>すすむほうこうをきめました。</b> <br> I decided the direction to move forward. <br> [sound:4c-s-進む方向を決めました。.mp3]
四つの選択肢があります。 <br><br> (四)	<b>よっつのせんたくしがあります。</b> <br> There are four choices. <br> [sound:4c-s-四つの選択肢があります。.mp3]
テーブルの上に四つの皿があります。 <br><br> (四つ)	<b>テーブルのうえによっつのさらがあります。</b> <br> There are four plates on the table. <br> [sound:4c-s-テーブルの上に四つの皿があります。.mp3]
四月は桜が美しいです。 <br><br> (四月)	<b>しがつはさくらがうつくしいです。</b> <br> April has beautiful cherry blossoms. <br> [sound:4c-s-四月は桜が美しいです。.mp3]
十四日は私の誕生日です。 <br><br> (十四)	<b>じゅうよっかはわたしのたんじょうびです。</b> <br> The 14th is my birthday. <br> [sound:4c-s-十四日は私の誕生日です。.mp3]
両国は協定を結びました。 <br><br> (協定)	<b>りょうこくはきょうていをむすびました。</b> <br> Both countries signed an agreement. <br> [sound:4c-s-両国は協定を結びました。.mp3]
新しい方針が決定しました。 <br><br> (決定)	<b>あたらしいほうしんがけっていしました。</b> <br> A new policy has been decided. <br> [sound:4c-s-新しい方針が決定しました。.mp3]
旅行の予定を変更しました。 <br><br> (予定)	<b>りょこうのよていをへんこうしました。</b> <br> I changed my travel plans. <br> [sound:4c-s-旅行の予定を変更しました。.mp3]
このシステムは安定しています。 <br><br> (安定)	<b>このシステムはあんていしています。</b> <br> This system is stable. <br> [sound:4c-s-このシステムは安定しています。.mp3]
今すぐ決定が必要です。 <br><br> (今)	<b>いますぐけっていがひつようです。</b> <br> A decision is needed immediately. <br> [sound:4c-s-今すぐ決定が必要です。.mp3]
今やインターネットは欠かせません。 <br><br> (今や)	<b>いまやインターネットはかかせません。</b> <br> The internet is now indispensable. <br> [sound:4c-s-今やインターネットは欠かせません。.mp3]
今回のイベントは成功しました。 <br><br> (今回)	<b>こんかいのイベントはせいこうしました。</b> <br> This event was a success. <br> [sound:4c-s-今回のイベントは成功しました。.mp3]
今月は新しいプロジェクトが始まります。 <br><br> (今月)	<b>こんげつはあたらしいプロジェクトがはじまります。</b> <br> A new project is starting this month. <br> [sound:4c-s-今月は新しいプロジェクトが始まります。.mp3]
彼は三回目の優勝を果たしました。 <br><br> (回)	<b>かれはさんかいめのゆうしょうをはたしました。</b> <br> He achieved his third championship victory. <br> [sound:4c-s-彼は三回目の優勝を果たしました。.mp3]
