[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
[sound:4c-s-社会党が政策を提案しました。.mp3]	<b>社会党が政策を提案しました。</b> <br> しゃかいとうがせいさくをていあんしました。 <br><br> (社会党) <br> The Socialist Party proposed policies.
[sound:4c-s-新党が結成されました。.mp3]	<b>新党が結成されました。</b> <br> しんとうがけっせいされました。 <br><br> (新党) <br> A new political party was formed.
[sound:4c-s-地図で場所を確認しました。.mp3]	<b>地図で場所を確認しました。</b> <br> ちずでばしょをかくにんしました。 <br><br> (地) <br> I checked the location on the map.
[sound:4c-s-現地の状況を調査しました。.mp3]	<b>現地の状況を調査しました。</b> <br> げんちのじょうきょうをちょうさしました。 <br><br> (現地) <br> I investigated the local situation.
[sound:4c-s-この地域には美しい自然があります。.mp3]	<b>この地域には美しい自然があります。</b> <br> このちいきにはうつくしいしぜんがあります。 <br><br> (地域) <br> This region has beautiful nature.
[sound:4c-s-地球の環境を守ることが重要です。.mp3]	<b>地球の環境を守ることが重要です。</b> <br> ちきゅうのかんきょうをまもることがじゅうようです。 <br><br> (地球) <br> Protecting the Earth's environment is important.
[sound:4c-s-二社が合併しました。.mp3]	<b>二社が合併しました。</b> <br> にしゃががっぺいしました。 <br><br> (合) <br> Two companies merged.
[sound:4c-s-両国は新しい合意を結びました。.mp3]	<b>両国は新しい合意を結びました。</b> <br> りょうこくはあたらしいごういをむすびました。 <br><br> (合意) <br> Both countries reached a new agreement.
[sound:4c-s-サッカーの試合を観戦しました。.mp3]	<b>サッカーの試合を観戦しました。</b> <br> サッカーのしあいをかんせんしました。 <br><br> (試合) <br> I watched a soccer match.
[sound:4c-s-連合軍が作戦を開始しました。.mp3]	<b>連合軍が作戦を開始しました。</b> <br> れんごうぐんがさくせんをかいししました。 <br><br> (連合) <br> The allied forces began their operation.
[sound:4c-s-市場で新鮮な野菜を買いました。.mp3]	<b>市場で新鮮な野菜を買いました。</b> <br> しじょうでしんせんなやさいをかいました。 <br><br> (市場) <br> I bought fresh vegetables at the market.
[sound:4c-s-市内には多くの観光スポットがあります。.mp3]	<b>市内には多くの観光スポットがあります。</b> <br> しないにはおおくのかんこうスポットがあります。 <br><br> (市内) <br> There are many tourist spots within the city.
[sound:4c-s-市民が清掃活動を行いました。.mp3]	<b>市民が清掃活動を行いました。</b> <br> しみんがせいそうかつどうをおこないました。 <br><br> (市民) <br> Citizens carried out a cleaning campaign.
[sound:4c-s-この都市は活気があります。.mp3]	<b>この都市は活気があります。</b> <br> このとしはかっきがあります。 <br><br> (都市) <br> This city is vibrant.
[sound:4c-s-彼は飲食業に従事しています。.mp3]	<b>彼は飲食業に従事しています。</b> <br> かれはいんしょくぎょうにじゅうじしています。 <br><br> (業) <br> He works in the food service industry.
[sound:4c-s-新しい企業が設立されました。.mp3]	<b>新しい企業が設立されました。</b> <br> あたらしいきぎょうがせつりつされました。 <br><br> (企業) <br> A new company was established.
[sound:4c-s-この業界は成長しています。.mp3]	<b>この業界は成長しています。</b> <br> このぎょうかいはせいちょうしています。 <br><br> (業界) <br> This industry is growing.
[sound:4c-s-業者と契約を結びました。.mp3]	<b>業者と契約を結びました。</b> <br> ぎょうしゃとけいやくをむすびました。 <br><br> (業者) <br> I signed a contract with the vendor.
[sound:4c-s-部屋の内装を変更しました。.mp3]	<b>部屋の内装を変更しました。</b> <br> へやのないそうをへんこうしました。 <br><br> (内) <br> I changed the room's interior design.
[sound:4c-s-国内旅行が人気です。.mp3]	<b>国内旅行が人気です。</b> <br> こくないりょこうがにんきです。 <br><br> (国内) <br> Domestic travel is popular.
[sound:4c-s-市内の交通が混雑しています。.mp3]	<b>市内の交通が混雑しています。</b> <br> しないのこうつうがこんざつしています。 <br><br> (市内) <br> Traffic within the city is congested.
[sound:4c-s-都内には多くの企業があります。.mp3]	<b>都内には多くの企業があります。</b> <br> とないにはおおくのきぎょうがあります。 <br><br> (都内) <br> There are many companies in the metropolitan area.
[sound:4c-s-外相が会談を行いました。.mp3]	<b>外相が会談を行いました。</b> <br> がいしょうがかいだんをおこないました。 <br><br> (外相) <br> The foreign minister held a meeting.
[sound:4c-s-首相が国民に演説しました。.mp3]	<b>首相が国民に演説しました。</b> <br> しゅしょうがこくみんにえんぜつしました。 <br><br> (首相) <br> The Prime Minister gave a speech to the citizens.
[sound:4c-s-相手の意見を尊重しましょう。.mp3]	<b>相手の意見を尊重しましょう。</b> <br> あいてのいけんをそんちょうしましょう。 <br><br> (相手) <br> Let's respect the other person's opinion.
[sound:4c-s-問題について相談しました。.mp3]	<b>問題について相談しました。</b> <br> もんだいについてそうだんしました。 <br><br> (相談) <br> I discussed the issue.
[sound:4c-s-彼は一方的に話し続けました。.mp3]	<b>彼は一方的に話し続けました。</b> <br> かれはいっぽうてきにはなしつづけました。 <br><br> (一方) <br> He kept talking one-sidedly.
[sound:4c-s-それぞれの見方が異なります。.mp3]	<b>それぞれの見方が異なります。</b> <br> それぞれのみかたがことなります。 <br><br> (見方) <br> Each perspective is different.
[sound:4c-s-地方の文化を学びました。.mp3]	<b>地方の文化を学びました。</b> <br> ちほうのぶんかをまなびました。 <br><br> (地方) <br> I learned about local culture.
[sound:4c-s-進む方向を決めました。.mp3]	<b>進む方向を決めました。</b> <br> すすむほうこうをきめました。 <br><br> (方向) <br> I decided the direction to move forward.
[sound:4c-s-四つの選択肢があります。.mp3]	<b>四つの選択肢があります。</b> <br> よっつのせんたくしがあります。 <br><br> (四) <br> There are four choices.
[sound:4c-s-テーブルの上に四つの皿があります。.mp3]	<b>テーブルの上に四つの皿があります。</b> <br> テーブルのうえによっつのさらがあります。 <br><br> (四つ) <br> There are four plates on the table.
[sound:4c-s-四月は桜が美しいです。.mp3]	<b>四月は桜が美しいです。</b> <br> しがつはさくらがうつくしいです。 <br><br> (四月) <br> April has beautiful cherry blossoms.
[sound:4c-s-十四日は私の誕生日です。.mp3]	<b>十四日は私の誕生日です。</b> <br> じゅうよっかはわたしのたんじょうびです。 <br><br> (十四) <br> The 14th is my birthday.
[sound:4c-s-両国は協定を結びました。.mp3]	<b>両国は協定を結びました。</b> <br> りょうこくはきょうていをむすびました。 <br><br> (協定) <br> Both countries signed an agreement.
[sound:4c-s-新しい方針が決定しました。.mp3]	<b>新しい方針が決定しました。</b> <br> あたらしいほうしんがけっていしました。 <br><br> (決定) <br> A new policy has been decided.
[sound:4c-s-旅行の予定を変更しました。.mp3]	<b>旅行の予定を変更しました。</b> <br> りょこうのよていをへんこうしました。 <br><br> (予定) <br> I changed my travel plans.
[sound:4c-s-このシステムは安定しています。.mp3]	<b>このシステムは安定しています。</b> <br> このシステムはあんていしています。 <br><br> (安定) <br> This system is stable.
[sound:4c-s-今すぐ決定が必要です。.mp3]	<b>今すぐ決定が必要です。</b> <br> いますぐけっていがひつようです。 <br><br> (今) <br> A decision is needed immediately.
[sound:4c-s-今やインターネットは欠かせません。.mp3]	<b>今やインターネットは欠かせません。</b> <br> いまやインターネットはかかせません。 <br><br> (今や) <br> The internet is now indispensable.
[sound:4c-s-今回のイベントは成功しました。.mp3]	<b>今回のイベントは成功しました。</b> <br> こんかいのイベントはせいこうしました。 <br><br> (今回) <br> This event was a success.
[sound:4c-s-今月は新しいプロジェクトが始まります。.mp3]	<b>今月は新しいプロジェクトが始まります。</b> <br> こんげつはあたらしいプロジェクトがはじまります。 <br><br> (今月) <br> A new project is starting this month.
[sound:4c-s-彼は三回目の優勝を果たしました。.mp3]	<b>彼は三回目の優勝を果たしました。</b> <br> かれはさんかいめのゆうしょうをはたしました。 <br><br> (回) <br> He achieved his third championship victory.
